date,site,plot,trt,code,rep,envelope_stem,stem_length_cm,stem_weight_fresh_g,starting_ml,ending_ml,weight_displaced_water_g,stem_weight_dry_g,notes
5/25/2023,temple,11,ctl,TOAR,1,26,12.1,0.39,92,92,0.39,0.104,
5/25/2023,temple,11,ctl,TOAR,2,29,11.6,0.34,95,95,0.35,0.1249,
5/26/2023,temple,18,npk,AMTR,1,14,12.5,5.83,90,96,5.66,1.1303,
5/25/2023,temple,18,npk,AMTR,2,17,13.5,5.7,93,100,5.38,1.352,
5/26/2023,temple,18,npk,COCA,1,20,12,0.28,90,90,0.28,0.1624,
5/25/2023,temple,18,npk,COCA,2,23,13,0.11,97,97,0.08,0.0459,
5/25/2023,temple,18,npk,GATE,1,32,12,0.18,92,92,0.19,0.0403,
5/25/2023,temple,18,npk,GATE,2,35,12.2,0.23,97,98,0.28,0.054,
5/25/2023,temple,18,npk,MIPU,1,38,11.3,0.12,93,93,0.11,0.0435,
5/25/2023,temple,18,npk,MIPU,2,41,13,0.13,93,93,0.15,0.0591,
5/26/2023,temple,18,npk,MIPU,3,44,13.5,0.14,93,94,0.12,0.0656,
5/26/2023,temple,18,npk,MIPU,4,47,11.6,0.15,89,90,0.15,0.0686,
5/26/2023,temple,18,npk,SCSC,1,8,8.2,0.13,91,91,0.13,0.0313,
5/25/2023,temple,18,npk,SCSC,2,11,14,0.17,92,92,0.18,0.0508,
5/26/2023,temple,18,npk,SOHA,1,2,13.1,1.29,91,93,1.29,0.4554,
5/25/2023,temple,18,npk,SOHA,2,5,12,1.03,97,98,1.07,0.3474,
5/26/2023,temple,18,npk,TOAR,1,26,12,2.62,91,94,2.83,0.7294,
5/25/2023,temple,18,npk,TOAR,2,29,12.1,1.19,96,98,1.32,0.2436,
5/27/2023,temple,21,ctl,AMTR,1,14,11.3,3.71,89,92,3.46,0.9046,sample frozen
5/26/2023,temple,21,ctl,AMTR,2,17,11.5,1.78,92,94,1.5,0.3374,
5/26/2023,temple,21,ctl,COCA,1,20,11.2,0.12,91,91,0.08,0.0604,
5/26/2023,temple,21,ctl,COCA,2,23,12.3,0.25,91,NA,0.21,0.1272,
5/26/2023,temple,21,ctl,GAPU,1,32,12,0.98,92,94,1.04,0.3122,
5/26/2023,temple,21,ctl,GAPU,2,35,12,0.67,91,92,0.8,0.2129,
5/26/2023,temple,21,ctl,MIPU,1,38,11.3,0.07,92,92,0.11,0.0568,
5/26/2023,temple,21,ctl,MIPU,2,41,12.5,0.25,92,93,0.28,0.1016,
5/26/2023,temple,21,ctl,MIPU,3,44,12.5,0.34,90,90,0.34,0.1079,
5/26/2023,temple,21,ctl,MIPU,4,47,11.5,0.13,89,89,0.18,0.0738,
mia,temple,21,ctl,SCSC,1,8,12.3,0.32,91,91,0.31,0.0658,
5/27/2023,temple,21,ctl,SOHA,1,2,11,0.92,89,90,0.86,0.2968,sample frozen
5/26/2023,temple,21,ctl,SOHA,2,5,11.6,0.77,91,92,0.74,0.2615,
5/27/2023,temple,21,ctl,TOAR,1,26,12.2,0.72,89,90,0.79,0.2168,sample frozen; suspect about species 
5/26/2023,temple,21,ctl,TOAR,2,29,11.8,0.41,93,93,0.42,0.1265,
5/27/2023,temple,28,npk,AMTR,1,14,12,4.21,90,94,4.03,0.8518,sample frozen
5/26/2023,temple,28,npk,AMTR,2,17,12.8,3.36,92,95,3.26,0.5678,
5/27/2023,temple,28,npk,COCA,1,20,11.2,0.1,90,90,0.07,0.0433,sample frozen 
5/26/2023,temple,28,ctl,COCA,2,23,12.3,0.15,92,92,0.15,0.0707,
5/27/2023,temple,28,npk,SCSC,1,8,10.5,0.11,89,89,0.13,0.0251,sample frozen
5/26/2023,temple,28,npk,SCSC,2,11,10.4,0.35,92,93,0.42,0.0858,
5/27/2023,temple,28,npk,SOHA,1,2,11,1.38,89,91,1.28,0.4163,frozen sample
5/26/2023,temple,28,npk,SOHA,2,5,12.8,1.89,92,95,2.09,0.5233,
5/27/2023,temple,28,npk,TOAR,1,26,11.2,0.1,89,89,0.08,0.0253,sample frozen 
5/26/2023,temple,28,npk,TOAR,2,29,11.8,0.64,90,91,0.63,0.153,
