ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,17_species,18_species_notes_if_,19_percent_cover_,20_photo_if_needed,21_cover_notes
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,dabb3cd6-87bf-467b-aa2c-40745d5d974b,2023-06-05T14:28:03.000Z,2023-06-05T14:29:28.000Z,"CHLA10_(chamaesyce lata) 0.5","CHLA10_(chamaesyce lata)",,0.5,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=dabb3cd6-87bf-467b-aa2c-40745d5d974b_1685975278.jpg,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,4d320a87-a4b1-4af2-bea5-d6cf15f112b9,2023-06-05T14:27:21.000Z,2023-06-05T14:29:27.000Z,"BOGR2_(bouteloua gracilis) 3","BOGR2_(bouteloua gracilis)",,3,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,ebae7a35-8b8f-4638-861e-eb9c96cbb5e0,2023-06-05T14:25:08.000Z,2023-06-05T14:29:26.000Z,"2plant_(notes required) 3","2plant_(notes required)","Hymenoxys odorata, hyod. Keep to key.",3,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=ebae7a35-8b8f-4638-861e-eb9c96cbb5e0_1685975098.jpg,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,804e95bf-70b7-44fd-b66e-a28d7627297e,2023-06-05T14:21:07.000Z,2023-06-05T14:29:24.000Z,"SOEL_(solanum elaeagnifolium) 2","SOEL_(solanum elaeagnifolium)",,2,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,00fc820e-c62d-47ff-9e67-407252bd4ae6,2023-06-05T14:20:41.000Z,2023-06-05T14:29:23.000Z,"PRGL2_(prosopis glandulosa) 5","PRGL2_(prosopis glandulosa)",,5,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,cf53b0fc-70a3-4e45-8d6d-73d09eba67a4,2023-06-05T14:20:18.000Z,2023-06-05T14:29:22.000Z,"CHIN2_(chenopodium incanum) 42","CHIN2_(chenopodium incanum)",,42,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,27390009-65da-49ab-8741-83ef3da6e3ba,2023-06-05T14:19:45.000Z,2023-06-05T14:29:21.000Z,"1.4_rocks 0",5_rocks,,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=27390009-65da-49ab-8741-83ef3da6e3ba_1685974778.jpg,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,d502f915-5d10-4fb0-8f03-c90181fad2f4,2023-06-05T14:18:47.000Z,2023-06-05T14:29:20.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,Scat
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,f57cc3a8-cd83-485e-ba04-10cd4922936b,2023-06-05T14:18:24.000Z,2023-06-05T14:29:19.000Z,"1.2_bare soil 25","3_bare soil",,25,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,abbb2143-d0ee-4483-8cfa-acdbc76c62bb,2023-06-05T14:17:54.000Z,2023-06-05T14:29:18.000Z,"1.1_litter 15",2_litter,,15,,
ebd116e4-e8ac-4c4d-9b05-fbcedb49d110,947f3a3d-e762-446d-bb15-864d9e5c59cf,2023-06-05T14:17:29.000Z,2023-06-05T14:29:17.000Z,"1.0_woody overstory 0","1_woody overstory",,0,,
597548d9-ae76-40e6-9d11-3e378c908a8f,e87b690d-7bb9-4c5f-babb-b66630f14a52,2023-06-05T14:13:07.000Z,2023-06-05T14:14:10.000Z,"PRGL2_(prosopis glandulosa) 60","PRGL2_(prosopis glandulosa)",,60,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=e87b690d-7bb9-4c5f-babb-b66630f14a52_1685974368.jpg,"Verifyprotocol. Consider underr 300m"
597548d9-ae76-40e6-9d11-3e378c908a8f,8e87dce5-93e9-4189-85da-3892cef642ba,2023-06-05T14:11:34.000Z,2023-06-05T14:14:08.000Z,"CHIN2_(chenopodium incanum) 95","CHIN2_(chenopodium incanum)",,95,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=8e87dce5-93e9-4189-85da-3892cef642ba_1685974289.jpg,
597548d9-ae76-40e6-9d11-3e378c908a8f,0967e0ae-0e7d-494e-b93b-0877ecc999bd,2023-06-05T14:11:02.000Z,2023-06-05T14:14:07.000Z,"1.4_rocks 0",5_rocks,,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=0967e0ae-0e7d-494e-b93b-0877ecc999bd_1685974253.jpg,
597548d9-ae76-40e6-9d11-3e378c908a8f,dcf10f2a-1b85-450d-a378-dd76578cbe09,2023-06-05T14:09:52.000Z,2023-06-05T14:14:06.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,
597548d9-ae76-40e6-9d11-3e378c908a8f,40d9e549-9b98-4071-b4fb-60085dc46e4b,2023-06-05T14:09:38.000Z,2023-06-05T14:14:05.000Z,"1.2_bare soil 0","3_bare soil",,0,,
597548d9-ae76-40e6-9d11-3e378c908a8f,1f265027-84cf-4fbb-b968-e8239b6b7974,2023-06-05T14:09:23.000Z,2023-06-05T14:14:04.000Z,"1.1_litter 5",2_litter,,5,,
597548d9-ae76-40e6-9d11-3e378c908a8f,02680914-0a5a-4e99-bb54-fc86bedcaf56,2023-06-05T14:08:46.000Z,2023-06-05T14:14:02.000Z,"1.0_woody overstory 50","1_woody overstory",Mesquite,50,,
265eccff-9aa3-42ab-bf20-b3cf84d58387,4560f9db-595d-4318-9e96-eb9b2def4ff8,2023-06-05T13:57:26.000Z,2023-06-05T14:00:03.000Z,"BOGR2_(bouteloua gracilis) 3","BOGR2_(bouteloua gracilis)",,3,,Understory
265eccff-9aa3-42ab-bf20-b3cf84d58387,bdd6e709-6c9b-41ea-925e-9eed3efc7381,2023-06-05T13:55:46.000Z,2023-06-05T14:00:02.000Z,"SOEL_(solanum elaeagnifolium) 2","SOEL_(solanum elaeagnifolium)",,2,,
265eccff-9aa3-42ab-bf20-b3cf84d58387,f0f87bb3-ff8b-434c-a886-05e360c2bd87,2023-06-05T13:47:19.000Z,2023-06-05T14:00:01.000Z,"CHIN2_(chenopodium incanum) 92","CHIN2_(chenopodium incanum)",,92,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=f0f87bb3-ff8b-434c-a886-05e360c2bd87_1685972832.jpg,
265eccff-9aa3-42ab-bf20-b3cf84d58387,a3c26dfb-7893-46c1-a69e-8e6327531ae1,2023-06-05T13:46:16.000Z,2023-06-05T14:00:00.000Z,"1.4_rocks 0",5_rocks,,0,,
265eccff-9aa3-42ab-bf20-b3cf84d58387,0ee9fc3e-4b3a-4182-87e9-65099aac1dbe,2023-06-05T13:45:52.000Z,2023-06-05T13:59:58.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,
265eccff-9aa3-42ab-bf20-b3cf84d58387,0469e0be-dbc9-40c4-b220-ad37aa902924,2023-06-05T13:45:36.000Z,2023-06-05T13:59:57.000Z,"1.2_bare soil 0","3_bare soil",,0,,
265eccff-9aa3-42ab-bf20-b3cf84d58387,a1c387d0-96e8-4e29-944b-aafe79ca9020,2023-06-05T13:44:49.000Z,2023-06-05T14:00:05.000Z,"1.1_litter 3",2_litter,,3,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=a1c387d0-96e8-4e29-944b-aafe79ca9020_1685972665.jpg,"Need to verify definition of ""litter"""
265eccff-9aa3-42ab-bf20-b3cf84d58387,64ce1308-30ac-44e9-bba6-7fcc8851ae00,2023-06-05T13:43:35.000Z,2023-06-05T13:59:56.000Z,"1.0_woody overstory 0","1_woody overstory",,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=64ce1308-30ac-44e9-bba6-7fcc8851ae00_1685972611.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,b69086f5-9f7c-45d7-927f-efea5d5a18db,2023-06-05T13:33:22.000Z,2023-06-05T13:34:35.000Z,"CHLA10_(chamaesyce lata) 0.5","CHLA10_(chamaesyce lata)",,0.5,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=b69086f5-9f7c-45d7-927f-efea5d5a18db_1685971997.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,ece251c7-c8cf-4972-861e-497827095667,2023-06-05T13:32:32.000Z,2023-06-05T13:34:34.000Z,"BOGR2_(bouteloua gracilis) 3","BOGR2_(bouteloua gracilis)",,3,,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,6f5ba534-d130-4f8b-b776-84b4e0256d8e,2023-06-05T13:26:20.000Z,2023-06-05T13:34:33.000Z,"2plant_(notes required) 5","2plant_(notes required)","Hymenoxys odorata or Helenium amarum. collect and key",5,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=6f5ba534-d130-4f8b-b776-84b4e0256d8e_1685971574.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,c5e60ad8-ba43-46dd-ba2a-3805354e9de4,2023-06-05T13:22:05.000Z,2023-06-05T13:34:32.000Z,"ARHUH_(argythamnia humilis var. humilis) 1","ARHUH_(argythamnia humilis var. humilis)","Need to verify",1,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=c5e60ad8-ba43-46dd-ba2a-3805354e9de4_1685971321.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,a2e79378-96d4-42c4-871d-9248ea021b0c,2023-06-05T13:13:29.000Z,2023-06-05T13:34:31.000Z,"SOEL_(solanum elaeagnifolium) 10","SOEL_(solanum elaeagnifolium)",,10,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=a2e79378-96d4-42c4-871d-9248ea021b0c_1685970804.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,0960b1f8-bf1a-456c-aa73-9a1195a8277a,2023-06-05T13:12:30.000Z,2023-06-05T13:34:29.000Z,"CHIN2_(chenopodium incanum) 75","CHIN2_(chenopodium incanum)",,75,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=0960b1f8-bf1a-456c-aa73-9a1195a8277a_1685970736.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,99c11a85-eaf8-4c51-8b84-e6976429d48b,2023-06-05T13:10:30.000Z,2023-06-05T13:34:28.000Z,"1.4_rocks 0",5_rocks,,0,https://five.epicollect.net/api/media/mk-nutnet2023-5dominantplants?type=photo&format=entry_original&name=99c11a85-eaf8-4c51-8b84-e6976429d48b_1685970624.jpg,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,d894813c-0152-4457-a57f-b9f08a09552c,2023-06-05T13:09:46.000Z,2023-06-05T13:34:27.000Z,"1.3_animal diggings/ disturbance 0","4_animal diggings/ disturbance",,0,,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,ed9af2f8-688d-4c86-8565-850cc2dffbc7,2023-06-05T13:09:24.000Z,2023-06-05T13:34:25.000Z,"1.2_bare soil 0","3_bare soil",,0,,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,2084daba-e07b-4681-9983-cd30a2ab2be9,2023-06-05T13:09:02.000Z,2023-06-05T13:34:24.000Z,"1.1_litter 2",2_litter,,2,,
aa27e5d2-43fe-4ac1-97d2-11ebbe548b3e,167d7ed9-8a9a-4ff0-b22e-758f9962008c,2023-06-05T13:08:25.000Z,2023-06-05T13:34:23.000Z,"1.0_woody overstory 0","1_woody overstory",,0,,
0a1302c1-c279-4517-9687-867bc22319fa,c5298764-4436-45ab-8670-59b31177ef43,2023-06-05T06:19:43.000Z,2023-06-05T06:20:43.000Z,"CHLA10_(chamaesyce lata) 0.5","CHLA10_(chamaesyce lata)",,0.5,,
0a1302c1-c279-4517-9687-867bc22319fa,b476fe80-84b4-4f37-bc56-2cf6f80f2d44,2023-06-05T06:18:33.000Z,2023-06-05T06:20:42.000Z,"1.1_litter 50",2_litter,,50,,
0a1302c1-c279-4517-9687-867bc22319fa,10a0f41c-669b-453a-9809-3dc63dd9d5b7,2023-06-05T06:18:12.000Z,2023-06-05T06:20:41.000Z,"1.0_woody overstory 0","1_woody overstory",,0,,
