"","site","plot","trt","code_original","X","code","taxon","rep","envelope_multi","date","leaf.area.sample","total.leaf.area","leaf_wet_g","leaf_dry_g","sla_cm2.g.1","leaf_dry_mg","ldmc_mg.g","notes_combined","code_v1","type","code_field","taxon.y","duration","status","title","site_trt_plot","epicollect_title","category","species_notes_if_","percent_cover","block"
"19","temple",18,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/25/2023","temple_18_amtr02_016",104.295,1.52,0.5531,188.5644549,553.1,363.8815789,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_18","temple_npk_18","amtr_(ambrosia trifida)","plant","",70,"block_2"
"20","temple",18,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/25/2023","temple_18_amtr02_016",104.295,1.52,0.5531,188.5644549,553.1,363.8815789,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_18","temple_npk_18","amtr_(ambrosia trifida)","plant","",90,"block_2"
"21","temple",21,"control","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_21_amtr01_013",67.687,1.27,0.3141,215.4950653,314.1,247.3228346,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_21","temple_control_21","amtr_(ambrosia trifida)","plant","",25,"block_3"
"22","temple",21,"control","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_21_amtr01_013",67.687,1.27,0.3141,215.4950653,314.1,247.3228346,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_21","temple_control_21","amtr_(ambrosia trifida)","plant","",5,"block_3"
"23","temple",21,"control","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/26/2023","temple_21_amtr02_016",34.585,0.4,0.1671,206.9718731,167.1,417.75,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_21","temple_control_21","amtr_(ambrosia trifida)","plant","",25,"block_3"
"24","temple",21,"control","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/26/2023","temple_21_amtr02_016",34.585,0.4,0.1671,206.9718731,167.1,417.75,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_control_21","temple_control_21","amtr_(ambrosia trifida)","plant","",5,"block_3"
"25","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_028_amtr01_013",100.964,1.89,0.5004,201.7665867,500.4,264.7619048,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",30,"block_3"
"26","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_028_amtr01_013",100.964,1.89,0.5004,201.7665867,500.4,264.7619048,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",35,"block_3"
"27","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_28_amtr01_013",100.974,1.89,0.5004,201.7865707,500.4,264.7619048,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",30,"block_3"
"28","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",1,13,"5/27/2023","temple_28_amtr01_013",100.974,1.89,0.5004,201.7865707,500.4,264.7619048,"hard","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",35,"block_3"
"29","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/26/2023","temple_28_amtr02_016",69.04,0.66,0.3174,217.5173283,317.4,480.9090909,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",30,"block_3"
"30","temple",28,"npk","amtr",TRUE,"amtr","ambrosia trifida",2,16,"5/26/2023","temple_28_amtr02_016",69.04,0.66,0.3174,217.5173283,317.4,480.9090909,"","amtr","forb","amtr","ambrosia trifida","annual","native","temple_npk_28","temple_npk_28","amtr_(ambrosia trifida)","plant","",35,"block_3"
"31","lubb",8,"control","arhuh",TRUE,"arhuh","argythamnia humilis",1,166,"6/15/2023","lubb_08_arhuh01_166",3.889,0.1193,0.0252,154.3253968,25.2,211.2321878,"","arhuh","forb","arhuh","argythamnia humilis","perennial","native","lubb_control_08","lubb_control_08","arhuh_(argythamnia humilis var. humilis) 1","plant","",1,"block_1"
"32","lubb",8,"control","arhuh",TRUE,"arhuh","argythamnia humilis",2,169,"6/15/2023","lubb_08_arhuh02_169",3.142,0.0927,0.019,165.3684211,19,204.9622438,"","arhuh","forb","arhuh","argythamnia humilis","perennial","native","lubb_control_08","lubb_control_08","arhuh_(argythamnia humilis var. humilis) 1","plant","",1,"block_1"
"33","arch",8,"npk","arse",TRUE,"arse","asimina reticulata",1,331,"6/27/2023","arch_08_arse01_331",4.22,0.124,0.0396,106.5656566,39.6,319.3548387,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_npk_08","arch_npk_08","2plant 4","plant","asimina reticulata",4,"block_1"
"34","arch",8,"npk","arse",TRUE,"arse","asimina reticulata",2,334,"6/27/2023","arch_08_arse02_334",5.187,0.16,0.0615,84.34146341,61.5,384.375,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_npk_08","arch_npk_08","2plant 4","plant","asimina reticulata",4,"block_1"
"35","arch",11,"control","arse",TRUE,"arse","asimina reticulata",1,359,"6/28/2023","arch_11_arse01_359",4.08,0.125,0.0462,88.31168831,46.2,369.6,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_control_11","arch_control_11","2plant 2","plant","asimina reticulata",2,"block_2"
"36","arch",11,"control","arse",TRUE,"arse","asimina reticulata",2,362,"6/28/2023","arch_11_arse02_362",6.463,0.174,0.0573,112.7923211,57.3,329.3103448,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_control_11","arch_control_11","2plant 2","plant","asimina reticulata",2,"block_2"
"37","arch",18,"npk","arse",TRUE,"arse","asimina reticulata",1,398,"6/28/2023","arch_18_arse01_398",3.978,0.136,0.0461,86.29067245,46.1,338.9705882,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_npk_18","arch_npk_18","2plant 0.5","plant","asimina reticulata",0.5,"block_2"
"38","arch",18,"npk","arse",TRUE,"arse","asimina reticulata",2,401,"6/28/2023","arch_18_arse02_401",3.487,0.104,0.0371,93.98921833,37.1,356.7307692,"glaumid / orange","arse","forb","arse","asimina reticulata","perennial","native","arch_npk_18","arch_npk_18","2plant 0.5","plant","asimina reticulata",0.5,"block_2"
"39","sevi",6,"npk","boer",TRUE,"boer","bouteloua eriopoda",1,470,"9/10/2023","sevi_06_boer01_470_010",1.714,0.231,0.009,190.4444444,9,38.96103896,"Hard ""discard? Poor licor curve already had a rep#? Keep maybe? #2 =super small sample ","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_06","sevi_npk_06","boer_bouteloua_eriopoda 7","plant","",7,"block_1"
"40","sevi",6,"npk","boer",TRUE,"boer","bouteloua eriopoda",2,612,"9/10/2023","sevi_06_boer02_612_004",0.702,0.0119,0.0038,184.7368421,3.8,319.3277311,"","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_06","sevi_npk_06","boer_bouteloua_eriopoda 7","plant","",7,"block_1"
"41","sevi",6,"npk","boer",TRUE,"boer","bouteloua eriopoda",1,615,"9/10/2023","sevi_06_boer01_615_009",2.684,0.0363,0.0194,138.3505155,19.4,534.4352617,"NANAHard; replacement individual for envelope 470; 470= terrible linear curve","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_06","sevi_npk_06","boer_bouteloua_eriopoda 7","plant","",7,"block_1"
"42","sevi",8,"control","boer",TRUE,"boer","bouteloua eriopoda",1,485,"9/10/2023","sevi_08_boer01_485_003",1.324,0.0177,0.0072,183.8888889,7.2,406.779661,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_08","sevi_control_08","boer_bouteloua_eriopoda 25","plant","",25,"block_1"
"43","sevi",8,"control","boer",TRUE,"boer","bouteloua eriopoda",2,627,"9/13/2023","sevi_08_boer02_627_044",0.839,0.0091,0.0045,186.4444444,4.5,494.5054945,"8:28m","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_08","sevi_control_08","boer_bouteloua_eriopoda 25","plant","",25,"block_1"
"44","sevi",12,"control","boer",TRUE,"boer","bouteloua eriopoda",1,500,"9/10/2023","sevi_12_boer01_500_001",0.849,0.0137,0.0048,176.875,4.8,350.3649635,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_12","sevi_control_12","boer_bouteloua_eriopoda 20","plant","",20,"block_1"
"45","sevi",12,"control","boer",TRUE,"boer","bouteloua eriopoda",2,642,"9/13/2023","sevi_12_boer02_642_047",1.145,0.0145,0.0056,204.4642857,5.6,386.2068966,"12C0.371527778","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_12","sevi_control_12","boer_bouteloua_eriopoda 20","plant","",20,"block_1"
"46","sevi",15,"npk","boer",TRUE,"boer","bouteloua eriopoda",1,516,"9/12/2023","sevi_15_boer01_516_042",1.128,0.0154,0.0055,205.0909091,5.5,357.1428571,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_15","sevi_npk_15","boer_bouteloua_eriopoda 10","plant","",10,"block_1"
"47","sevi",15,"npk","boer",TRUE,"boer","bouteloua eriopoda",2,600,"9/12/2023","sevi_15_boer02_600_043",0.993,0.0143,0.0042,236.4285714,4.2,293.7062937,"","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_15","sevi_npk_15","boer_bouteloua_eriopoda 10","plant","",10,"block_1"
"48","sevi",17,"npk","boer",TRUE,"boer","bouteloua eriopoda",1,531,"9/10/2023","sevi_17_boer01_531_013",1.34,0.0191,0.0081,165.4320988,8.1,424.0837696,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_17","sevi_npk_17","boer_bouteloua_eriopoda 5","plant","",5,"block_1"
"49","sevi",17,"npk","boer",TRUE,"boer","bouteloua eriopoda",2,624,"9/13/2023","sevi_17_boer02_624_045",1.208,0.0065,0.0068,177.6470588,6.8,1046.153846,"8:37m, 17N","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_17","sevi_npk_17","boer_bouteloua_eriopoda 5","plant","",5,"block_1"
"50","sevi",22,"control","boer",TRUE,"boer","bouteloua eriopoda",1,546,"9/12/2023","sevi_22_boer01_546_041",1.085,0.0187,0.0064,169.53125,6.4,342.2459893,"Hard; on sticky note: Monika 9/15 ","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_22","sevi_control_22","boer_bouteloua_eriopoda 5","plant","",5,"block_1"
"51","sevi",22,"control","boer",TRUE,"boer","bouteloua eriopoda",2,561,"9/12/2023","sevi_22_boer02_561_017",0.947,0.0136,0.0053,178.6792453,5.3,389.7058824,"","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_22","sevi_control_22","boer_bouteloua_eriopoda 5","plant","",5,"block_1"
"52","sevi",35,"control","boer",TRUE,"boer","bouteloua eriopoda",1,552,"9/12/2023","sevi_35_boer01_552_037",0.852,0.0141,0.0057,149.4736842,5.7,404.2553191,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_control_35","sevi_control_35","boer_bouteloua_eriopoda 7","plant","",7,"block_1"
"53","sevi",39,"npk","boer",TRUE,"boer","bouteloua eriopoda",1,491,"9/12/2023","sevi_39_boer01_491_040",1.481,0.0191,0.0097,152.6804124,9.7,507.8534031,"Hard","boer","graminoid","boer","bouteloua eriopoda","perennial","native","sevi_npk_39","sevi_npk_39","boer_bouteloua_eriopoda 1","plant","",1,"block_1"
"54","lubb",5,"npk","bogr2",TRUE,"bogr2","bouteloua gracilis",2,12,"6/6/2023","lubb_05_bogr02_012",0.936,0.0505,0.0216,43.33333333,21.6,427.7227723,"hard","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_npk_05","lubb_npk_05","bogr2_(bouteloua gracilis) 3","plant","",3,"block_1"
"55","lubb",5,"npk","bogr2",TRUE,"bogr2","bouteloua gracilis",1,160,"6/15/2023","lubb_05_bogr01_160",3.34,0.052,0.0158,211.3924051,15.8,303.8461538,"","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_npk_05","lubb_npk_05","bogr2_(bouteloua gracilis) 3","plant","",3,"block_1"
"56","lubb",8,"control","bogr2",TRUE,"bogr2","bouteloua gracilis",2,27,"6/6/2023","lubb_08_bogr02_027",0.451,0.0246,0.0106,42.54716981,10.6,430.8943089,"hard","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_control_08","lubb_control_08","bogr2_(bouteloua gracilis) 3","plant","",3,"block_1"
"57","lubb",8,"control","bogr2",TRUE,"bogr2","bouteloua gracilis",1,163,"6/15/2023","lubb_08_bogr01_163",1.396,0.0229,0.0094,148.5106383,9.4,410.4803493,"","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_control_08","lubb_control_08","bogr2_(bouteloua gracilis) 3","plant","",3,"block_1"
"58","lubb",27,"npk","bogr2",TRUE,"bogr2","bouteloua gracilis",2,42,"6/6/2023","lubb_27_bogr02_042",0.859,0.0415,0.0176,48.80681818,17.6,424.0963855,"hard","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_npk_27","lubb_npk_27","bogr2_(bouteloua gracilis) 3","plant","",3,"block_2"
"59","lubb",27,"npk","bogr2",TRUE,"bogr2","bouteloua gracilis",1,135,"6/15/2023","lubb_27_bogr01_135",2.019,0.0332,0.0105,192.2857143,10.5,316.2650602,"","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_npk_27","lubb_npk_27","bogr2_(bouteloua gracilis) 3","plant","",3,"block_2"
"60","lubb",28,"control","bogr2",TRUE,"bogr2","bouteloua gracilis",2,57,"6/6/2023","lubb_28_bogr02_057",1.245,0.0633,0.0268,46.45522388,26.8,423.3807267,"hard",NA,NA,NA,NA,"perennial","native",NA,NA,NA,NA,NA,0,"block_2"
"61","lubb",29,"npk","bogr2",TRUE,"bogr2","bouteloua gracilis",2,66,"6/7/2023","lubb_29_bogr02_066",3.359,0.0777,0.0269,124.8698885,26.9,346.2033462,"hard",NA,NA,NA,NA,"perennial","native",NA,NA,NA,NA,NA,0,"block_3"
"62","lubb",37,"control","bogr2",TRUE,"bogr2","bouteloua gracilis",2,81,"6/7/2023","lubb_37_bogr02_081",2.163,0.0378,0.0126,171.6666667,12.6,333.3333333,"hard","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_control_37","lubb_control_37","bogr2_(bouteloua gracilis) 3","plant","",3,"block_3"
"63","lubb",37,"control","bogr2",TRUE,"bogr2","bouteloua gracilis",1,105,"6/5/2023","lubb_37_bogr01_105",1.427,0.0291,0.0118,120.9322034,11.8,405.4982818,"4 SLA scans","bogr2","graminoid","bogr2","bouteloua gracilis","perennial","native","lubb_control_37","lubb_control_37","bogr2_(bouteloua gracilis) 3","plant","",3,"block_3"
"64","arch",21,"control","carph",TRUE,"carph","carphephorus odoratissimus",1,419,"6/28/2023","arch_21_carph01_419",19.352,0.889,0.1428,135.5182073,142.8,160.6299213,"3licorturkey vein spoon","carph","forb","carph","carphephorus odoratissimus","perennial","native","arch_control_21","arch_control_21","2plant 5","plant","carphephorus odoratissimus",5,"block_3"
"65","arch",21,"control","carph",TRUE,"carph","carphephorus odoratissimus",2,422,"6/28/2023","arch_21_carph02_422",16.735,0.672,0.0924,181.1147186,92.4,137.5,"3licor2turkey vein spoon","carph","forb","carph","carphephorus odoratissimus","perennial","native","arch_control_21","arch_control_21","2plant 5","plant","carphephorus odoratissimus",5,"block_3"
"66","lubb",5,"npk","chin2",TRUE,"chin2","chenopodium incanum",2,0,"6/6/2023","lubb_05_chin02_000",14.512,0.6568,0.1168,124.2465753,116.8,177.8319123,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_05","lubb_npk_05","chin2_(chenopodium incanum) 92","plant","",92,"block_1"
"67","lubb",5,"npk","chin2",TRUE,"chin2","chenopodium incanum",1,154,"6/15/2023","lubb_05_chin01_154",8.173,0.2572,0.0637,128.3045526,63.7,247.6671851,"","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_05","lubb_npk_05","chin2_(chenopodium incanum) 92","plant","",92,"block_1"
"68","lubb",8,"control","chin2",TRUE,"chin2","chenopodium incanum",2,15,"6/6/2023","lubb_08_chin02_015",9.575,0.4139,0.064,149.609375,64,154.6267214,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_08","lubb_control_08","chin2_(chenopodium incanum) 75","plant","",75,"block_1"
"69","lubb",8,"control","chin2",TRUE,"chin2","chenopodium incanum",1,138,"6/6/2023","lubb_08_chin01_138",9.78,0.3905,0.0561,174.3315508,56.1,143.6619718,"","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_08","lubb_control_08","chin2_(chenopodium incanum) 75","plant","",75,"block_1"
"70","lubb",27,"npk","chin2",TRUE,"chin2","chenopodium incanum",2,30,"6/6/2023","lubb_27_chin02_030",15.49,0.688,0.0924,167.6406926,92.4,134.3023256,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_27","lubb_npk_27","chin2_(chenopodium incanum) 42","plant","",42,"block_2"
"71","lubb",27,"npk","chin2",TRUE,"chin2","chenopodium incanum",1,123,"6/5/2023","lubb_27_chin01_123",10.708,0.4435,0.0658,162.7355623,65.8,148.3652762,"3 SLA scans","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_27","lubb_npk_27","chin2_(chenopodium incanum) 42","plant","",42,"block_2"
"72","lubb",28,"control","chin2",TRUE,"chin2","chenopodium incanum",2,45,"6/6/2023","lubb_28_chin02_045",15.609,0.6461,0.1158,134.7927461,115.8,179.2292215,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_28","lubb_control_28","chin2_(chenopodium incanum) 95","plant","",95,"block_2"
"73","lubb",28,"control","chin2",TRUE,"chin2","chenopodium incanum",1,117,"6/5/2023","lubb_28_chin01_117",20.219,0.6598,0.0974,207.587269,97.4,147.6204911,"2 SLA scans","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_28","lubb_control_28","chin2_(chenopodium incanum) 95","plant","",95,"block_2"
"74","lubb",29,"npk","chin2",TRUE,"chin2","chenopodium incanum",2,60,"6/7/2023","lubb_29_chin02_060",14.388,0.518,0.0903,159.3355482,90.3,174.3243243,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_29","lubb_npk_29","chin2_(chenopodium incanum) 50","plant","",50,"block_3"
"75","lubb",29,"npk","chin2",TRUE,"chin2","chenopodium incanum",1,108,"6/5/2023","lubb_29_chin01_108",21.158,0.7942,0.1394,151.7790531,139.4,175.5225384,"2 SLA scans","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_npk_29","lubb_npk_29","chin2_(chenopodium incanum) 50","plant","",50,"block_3"
"76","lubb",37,"control","chin2",TRUE,"chin2","chenopodium incanum",2,75,"6/7/2023","lubb_37_chin02_075",10.344,0.4562,0.0811,127.5462392,81.1,177.7729066,"hard","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_37","lubb_control_37","chin2_(chenopodium incanum) 85","plant","",85,"block_3"
"77","lubb",37,"control","chin2",TRUE,"chin2","chenopodium incanum",1,90,"6/5/2023","lubb_37_chin01_090",15.815,0.6281,0.0747,211.7135207,74.7,118.9301067,"B2 ctl","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_37","lubb_control_37","chin2_(chenopodium incanum) 85","plant","",85,"block_3"
"78","lubb",37,"control","chin2",TRUE,"chin2","chenopodium incanum",1,90,"6/5/2023","lubb_37B2CH_chin01_090",15.82,0.6281,0.0747,211.7804552,74.7,118.9301067,"B2CHB2 ctl","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_37","lubb_control_37","chin2_(chenopodium incanum) 85","plant","",85,"block_3"
"79","lubb",37,"control","chin2",TRUE,"chin2","chenopodium incanum",2,93,"6/5/2023","lubb_37_chin02_093",8.251,0.3,0.0365,226.0547945,36.5,121.6666667,"","chin2","forb","chin2","chenopodium incanum","annual","native","lubb_control_37","lubb_control_37","chin2_(chenopodium incanum) 85","plant","",85,"block_3"
"80","temple",1,"control","cien",TRUE,"cien","cirsium engelmannii",1,89,"5/24/2023","temple_01_cien01_089",124.869,5.66,1.0947,114.0668676,1094.7,193.409894,"","cien","forb","cien","cirsium engelmannii","perennial","native","temple_control_01","temple_control_01","cien_(cirsium engelmannii)","plant","",2,"block_1"
"81","temple",1,"control","cien",TRUE,"cien","cirsium engelmannii",2,92,"5/24/2023","temple_01_cien02_092",28.533,0.92,0.1579,180.7029766,157.9,171.6304348,"","cien","forb","cien","cirsium engelmannii","perennial","native","temple_control_01","temple_control_01","cien_(cirsium engelmannii)","plant","",2,"block_1"
"82","temple",1,"control","coca",TRUE,"coca","cocculus carolinus",1,72,"5/24/2023","temple_01_coca01_072",12.514,0.23,0.0768,162.9427083,76.8,333.9130435,"hard","coca","forb","coca","cocculus carolinus","perennial","native","temple_control_01","temple_control_01","coca_(cocculus carolinus)","plant","",30,"block_1"
"83","temple",1,"control","coca",TRUE,"coca","cocculus carolinus",1,72,"5/24/2023","temple_01_coca01_072",12.514,0.23,0.0768,162.9427083,76.8,333.9130435,"hard","coca","forb","coca","cocculus carolinus","perennial","native","temple_control_01","temple_control_01","coca_(cocculus carolinus)","plant","",5,"block_1"
