"","DatasetID","ObservationID","LastName","FirstName","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr","X","%nitrogen","%carbon","lat","long"
"12",130,28765,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712373,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,11.31368587,NA,45.4166667,-93.166667
"13",130,28765,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712382,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.131368587","%","Single",NA,"","",11.31368587,"mg/g",NA,NA,3.43231,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,11.31368587,NA,45.4166667,-93.166667
"14",130,28766,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712395,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,11.64577104,NA,45.4166667,-93.166667
"15",130,28766,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712396,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,11.64577104,NA,45.4166667,-93.166667
"16",130,28766,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712405,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.164577104","%","Single",NA,"","",11.64577104,"mg/g",NA,NA,3.25965,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,11.64577104,NA,45.4166667,-93.166667
"17",130,28767,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712418,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,12.44067215,NA,45.4166667,-93.166667
"18",130,28767,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712419,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,12.44067215,NA,45.4166667,-93.166667
"19",130,28767,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712428,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.244067215","%","Single",NA,"","",12.44067215,"mg/g",NA,NA,2.86558,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,12.44067215,NA,45.4166667,-93.166667
"20",130,28768,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712441,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.58461742,NA,45.4166667,-93.166667
"21",130,28768,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712442,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.58461742,NA,45.4166667,-93.166667
"22",130,28768,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712451,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.358461742","%","Single",NA,"","",13.58461742,"mg/g",NA,NA,2.34056,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,13.58461742,NA,45.4166667,-93.166667
"23",130,28769,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712464,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.88925455,NA,45.4166667,-93.166667
"24",130,28769,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712465,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.88925455,NA,45.4166667,-93.166667
"25",130,28769,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712474,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.388925455","%","Single",NA,"","",13.88925455,"mg/g",NA,NA,2.2082,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,13.88925455,NA,45.4166667,-93.166667
"26",130,28770,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712487,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.9144946,NA,45.4166667,-93.166667
"27",130,28770,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712488,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,13.9144946,NA,45.4166667,-93.166667
"28",130,28770,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712497,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.39144946","%","Single",NA,"","",13.9144946,"mg/g",NA,712474,2.2082,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,13.9144946,NA,45.4166667,-93.166667
"29",130,28771,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712510,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,15.87086536,NA,45.4166667,-93.166667
"30",130,28771,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712511,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,15.87086536,NA,45.4166667,-93.166667
"31",130,28771,"Craine","Joseph","Global 15N Database","Bouteloua gracilis",7911,"Bouteloua gracilis",712520,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.587086536","%","Single",NA,"","",15.87086536,"mg/g",NA,NA,1.41221,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,15.87086536,NA,45.4166667,-93.166667
"32",130,28831,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",713890,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,10.32463665,NA,45.4166667,-93.166667
"33",130,28831,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",713891,NA,"",59,"Latitude","Lat","45.4166667","","",NA,"","",45.4166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,10.32463665,NA,45.4166667,-93.166667
"34",130,28831,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",713900,14,"Leaf nitrogen (N) content per leaf dry mass",15,"Leaf nitrogen content per dry mass (Nmass)","Leaf %N","1.032463665","%","Single",NA,"","",10.32463665,"mg/g",NA,NA,1.95627,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","% dry mass","",NA,10.32463665,NA,45.4166667,-93.166667
"35",130,28832,"Craine","Joseph","Global 15N Database","Schizachyrium scoparium",48859,"Schizachyrium scoparium",713913,NA,"",60,"Longitude","Long","-93.166667","","",NA,"","",-93.166667,"",NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.","decimal","",NA,10.5308914,NA,45.4166667,-93.166667
