LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr,X
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,1289208,8637996,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,1.50329987,%,Single,NA,,,15.0329987,mg/g,NA,NA,1.37054,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28766,712395,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28766,712396,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Sorghastrum nutans,51135,Sorghastrum nutans,1289210,8638238,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,1.96622462,%,Single,NA,,,19.6622462,mg/g,NA,NA,3.16504,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28767,712418,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28767,712419,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Ambrosia trifida,3170,Ambrosia trifida,1289417,8661583,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,4.41,%,Single,NA,,,44.1,mg/g,NA,NA,2.54504,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28768,712441,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28768,712442,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Prosopis glandulosa,44133,Prosopis glandulosa,1289434,8663506,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,2.8,%,Single,NA,,,28,mg/g,NA,NA,0.918423,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28769,712464,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28769,712465,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Prosopis glandulosa,44133,Prosopis glandulosa,1289884,8712942,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,2.49,%,Single,NA,,,24.9,mg/g,NA,NA,0.816949,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28770,712487,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28770,712488,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Lyonia lucida,34627,Lyonia lucida,1289886,8713191,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,0.92,%,Single,NA,,,9.2,mg/g,NA,NA,1.58686,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28771,712510,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Bouteloua gracilis,7911,Bouteloua gracilis,28771,712511,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Pterocaulon pycnostachyum,44869,Pterocaulon pycnostachyum,1289890,8713701,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,1.97,%,Single,NA,,,19.7,mg/g,NA,NA,0.613849,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,28831,713890,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,28831,713891,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,1290208,8750004,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,1.04,%,Single,NA,,,10.4,mg/g,NA,NA,1.93357,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
Craine,Joseph,130,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,28832,713913,NA,,60,Longitude,Long,-93.166667,,,NA,,,-93.166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Craine,Joseph,130,Global 15N Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,28832,713914,NA,,59,Latitude,Lat,45.4166667,,,NA,,,45.4166667,,NA,NA,NA,"Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.",decimal,,NA
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Sorghastrum nutans,51135,Sorghastrum nutans,1290211,8750358,14,Leaf nitrogen (N) content per leaf dry mass,15,Leaf nitrogen content per dry mass (Nmass),Nmass,1.39,%,Single,NA,,,13.9,mg/g,NA,NA,1.09517,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",%,,NA
