site,site_code,family,taxon_code_field,taxon_code,taxon,type,duration,duration2,status,code_usda,taxon_morpho,photo_pathway,notes_species.information
arch,arch.us,poaceae,"pase, axfu, pano",pase,paspalum setaceum,graminoid,perennial,,native,pase5,,c4,"misid initially pano (paspalum notatum), potentially axfu (aconopus furcatus). vegetative state very similar between pase and axfu (axonopus furcatus). might have mixed species in the field. ""The best difference between paspalum setaceum and axonopus furcatus in vegetative form would be to look at the shape of the leaves. Paspalum setaceum has more pointy leaves than axonopus furcatus (more rounded, blunt at the end of the lamina)"" - Sonnier_photopathway based on carbon delta 13 values"
arch,arch.us,poaceae,"scrh_hairy, panic, parip",panic,panicum sp.,graminoid,perennial,,native/ introduced,panic,,c4,"not 100% sure on species, panicle not fully developed. Switched the species code for UC daivs to fit lenqth requrimetns, scrhhairy -> PANIC. Note from Dr. Soneir of arhc.us : ""likely Panicum longifolium (moved recently to Coleataenia longifolia, but we still used the old name in our dataset). I see characters that suggest Panicum longifolium, but the inflorescence is not fully developed and midvein is protruding but only slightly.""_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
arch,arch.us,poaceae,scrh,scrh,schizachyrium rhizomatum,graminoid,perennial,,native,scrh,,c4,photo. pathway based on s. scoparium species on try_photopathway based on carbon delta 13 values
arch,arch.us,note,2plant,2plant,unknown,note,unknown,,unknown,none,,unknown,
lubb,lubb.us,chenopodiaceae,chin2,chin2,chenopodium incanum,forb,annual,,native,chin2,,c3,photopathway based on carbon delta 13 values
lubb,lubb.us,fabaceae,prgl2,prgl2,prosopis glandulosa,forb,perennial,,native,prgl2,,c3,photopathway based on carbon delta 13 values
lubb,lubb.us,solanaceae,soel,soel,solanum elaeagnifolium,forb,perennial,,native,soel,,c3,photopathway based on carbon delta 13 values
lubb,lubb.us,euphorbiaceae,arhuh,arhu,argythamnia humilis,forb,perennial,,native,arhu5,,c4,photopathway based on carbon delta 13 values
lubb,lubb.us,lamiaceae,tela,tela,teucrium laciniatum,forb,perennial,,native,tela,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
lubb,lubb.us,amaranthaceae,"hyod, satr, saka",satr,salsola tragus,forb,annual,,introduced,satr12,,c4,"initially misid as (hyod) hymenoxys odorata, and then saka (salsola kali) some physical samples still labeled as either hyod, or saka_photopathway based on carbon delta 13 values"
lubb,lubb.us,poaceae,bogr2,bogr2,bouteloua gracilis,graminoid,perennial,,native,bogr2,,c4,photopathway based on carbon delta 13 values
lubb,lubb.us,euphorbiaceae,chla10,chla10,chamaesyce lata,forb,perennial,,native,chla10,,c4,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
lubb,lubb.us,note,2plant,2plant,unknown,note,unknown,,unknown,none,,unknown,
lubb,lubb.us,brassicaceae,brassi,brassi,brassicaceae sp.,forb,unknown,,unknown,brassi,,unknown,
sevi,sevi.us,boraginaceae,crcr,crcr,cryptantha crassisepala,forb,annual,,native,crcr3,stabbfuzz,c3,"not sampled for measurments, dead_based on reading and internet sources, or assumptions based on the plant family and/or genus"
sevi,sevi.us,brassicaceae,depi,depi,descurainia pinnata,forb,annual,,native,depi,,c3,"not sampled for measurments, dead. Annual, biennial or seldom a perennial_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
sevi,sevi.us,asteraceae,xasp,xasp,xanthisma spinulosum,forb,perennial,,native,mapi,,c3,officailly species updated to mapi (machaeranthera pinnatifida). Used older species (xasp) name for simplicity._photopathway based on carbon delta 13 values
sevi,sevi.us,solanaceae,soel,soel,solanum elaeagnifolium,forb,perennial,,native,soel,,c3,photopathway based on carbon delta 13 values
sevi,sevi.us,fabaceae,hodr,hodr,hoffmannseggia drepanocarpa,forb,perennial,,native,hodr,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
sevi,sevi.us,fabaceae,poja,poja,pomaria jamesii,forb,perennial,,native,poja5,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
sevi,sevi.us,poaceae,boer,boer,bouteloua eriopoda,graminoid,perennial,,native,boer4,,c4,photopathway based on carbon delta 13 values
sevi,sevi.us,amaranthaceae,"satr, sakassp., tragu_salsola kali ssp. ",satr,salsola tragus,forb,annual,,introduced,satr12,,c4,photopathway based on carbon delta 13 values
sevi,sevi.us,poaceae,spfl,spfl,sporobolus flexuosus,graminoid,perennial,,native,"spfl2
",,c4,photopathway based on carbon delta 13 values
sevi,sevi.us,euphorbiaceae,"chama, chsp",chama,chamaesyce sp.,forb,unknown,,unknown,chama15,,c4,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
sevi,sevi.us,note,2plant,2plant,unknown,note,unknown,,unknown,none,,unknown,
sevi,sevi.us,euphorbiaceae,eupho,eupho,euphorbia sp.,forb,unknown,,unknown,eupho,,unknown,
temple,temple.us,asteraceae,ceme,ceme,centaurea melitensis,forb,annual,,introduced,ceme2,,c3,"annual, biennial_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,geraniaceae,erte,erte,erodium texanum,forb,annual,,native,erte13,,c3,"annual, biennial_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,fabaceae,"mipl, mipl, mipl, mipu",miro,mimosa roemeriana,forb,perennial,,native,miro6,,c3,"Initailly used ""mipl"" code should have been miro (mimosa roemeriana). Basically all physical samples I believe say ""mipl"" of some sort. Update to miro when possible.  _photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,euphorbiaceae,eude,eude,euphorbia dentata,forb,annual,,native,eude4,,c3,"native is orange and says ""L_photopathway based on carbon delta 13 values"
temple,temple.us,asteraceae,gapu,gapu,gaillardia pulchella,forb,annual,annual/ perennial,native,gapu,,c3,photo. pathway based on gaillardia aristata_photopathway based on carbon delta 13 values
temple,temple.us,euphorbiaceae,sodi,sodi,solanum dimidiatum,forb,perennial,,native,sodi,,c3,"photo. pathway based on other solanum species on try database (many species)_photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,rosaceae,rutr,rutr,rubus trivialis,forb,perennial,,native,rutr,,c3,"photo. pathway based on other species of rubus. r. glandulosus, r. kirungensis, r. lucens, r. silesiacus. _photopathway based on carbon delta 13 values"
temple,temple.us,asteraceae,amtr,amtr,ambrosia trifida,forb,annual,,native,amtr,,c3,photopathway based on carbon delta 13 values
temple,temple.us,menispermaceae,coca,coca,cocculus carolinus,forb,perennial,,native,coca,,c3,photopathway based on carbon delta 13 values
temple,temple.us,commelinaceae,coer,coer,commelina erecta,forb,perennial,,native,coer,,c3,photopathway based on carbon delta 13 values
temple,temple.us,oxalidaceae,oxst,oxst,oxalis stricta,forb,perennial,,native,oxst,,c3,photopathway based on carbon delta 13 values
temple,temple.us,urticaceae,"pape, sticky plant, pape2",pape,parietaria pensylvanica,forb,annual,,native,pape5,sticky plant,c3,photopathway based on carbon delta 13 values
temple,temple.us,apiaceae,toar,toar,torilis arvensis,forb,annual,,introduced,toar,,c3,photopathway based on carbon delta 13 values
temple,temple.us,rubiaceae,"2pgate, gate, gate2",gate,galium texense,forb,annual,,native,gate3,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,rubiaceae,2plantgate,galiu,galium sp.,forb,unknown,,unknown,galiu,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,poaceae,"brar, brja",brar,bromus arvensis,graminoid,annual,,introduced,brar5,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,asteraceae,cien,cien,cirsium engelmannii,forb,perennial,,native,cien2,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,poaceae,elca,elca,elymus canadensis,graminoid,perennial,,native,elca4,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,euphorbiaceae,"eusp, eubpa",eusp,euphorbia spathulata,forb,annual,annual/ perennial,native,eusp,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,lamiaceae,moci,moci,monarda citriodora,forb,annual,annual/ perennial,native,moci,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,solanaceae,phmo,phmo,physalis mollis,forb,perennial,,native,"phmo9
",,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,apiaceae,ponu,ponu,polytaenia nuttallii,forb,perennial,,native,ponu4,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,fabaceae,pste,pste,psoralidium tenuiflorum,forb,perennial,,native,pste5,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,lamiaceae,saaz,saaz,salvia azurea,forb,perennial,,native,saaz,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,asteraceae,syer,syer,symphyotrichum ericoides,forb,perennial,,native,syer,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,euphorbiaceae,trbr,trbr,tragia brevispica,forb,perennial,.,native,"trbr4
",,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,asteraceae,trpe4,trpe,triodanis perfoliata,forb,annual,,native,trpe4,,c3,"photopathway based on reading and internet sources, or assumptions based on the plant family and/or genus"
temple,temple.us,poaceae,scsc,scsc,schizachyrium scoparium,graminoid,perennial,,native,scsc,,c4,photopathway based on carbon delta 13 values
temple,temple.us,poaceae,soha,soha,sorghum halepense,graminoid,perennial,,introduced,"soha
",,c4,photopathway based on carbon delta 13 values
temple,temple.us,poaceae,sonu,sonu,sorghastrum nutans,graminoid,perennial,,native,sonu2,,c4,photopathway based on carbon delta 13 values
temple,temple.us,poaceae,spco,spco,sporobolus compositus,graminoid,perennial,,native,"spco16
",,c4,photopathway based on carbon delta 13 values
temple,temple.us,note,2plant,2plant,unknown,note,unknown,,unknown,none,,unknown,
temple,temple.us,apiaceae,apiace,apiace,apiaceae sp.,forb,unknown,,unknown,apiace,,unknown,
temple,temple.us,asteraceae,astera,astera,asteraceae sp.,forb,unknown,,unknown,astera,,unknown,
temple,temple.us,brassicaceae,brassi,brassi,brassicaceae sp.,forb,unknown,,unknown,brassi,,unknown,
temple,temple.us,euphorbiaceae,eupho,eupho,euphorbia sp.,forb,unknown,,unknown,eupho,,unknown,
temple,temple.us,rubiaceae,gate,rubiac,rubiaceae sp.,forb,unknown,,unknown,rubiac,,c3,"photopathway based on carbon delta 13 values, for this specific individual not for all species within the ""rubiaceace"" family"
temple,temple.us,poaceae,"poacea, grass, grass spear",poacea,poaceae sp.,graminoid,unknown,,unknown,poacea,,c4,"based on c delta 13 values, only for this species individual at temple"
temple,temple.us,Iridaceae,sisyr,sisyr,sisyrinchium sp.,forb,annual,,native,sisyr,,unknown,
