site,site_code,taxon_code,Average.of.leaf_thickness,Average.of.sla,Average.of.ldmc,Average.of.n_delta.15,Average.of.plant_height,Average.of.n_concentration,Average.of.ssd_dimensional,Average.of.cn_ratio,average_site.value_.leaf_thickness,average_site.value_.sla,average_site.value_.ldmc,average_site.value_.n_delta.15,average_site.value_.plant_height,average_site.value_.n_concentration,average_site.value_.ssd_dimensional,average_site.value_.cn_ratio,rank_sla,rank_leaf.thickness,rank_n.concentration,rank_cn.ratio,rank_ssd,delta.15.n,rank_ldmc,count_conser,count_acqusitve
temple,temple.us,gate,0.13,212.0833333,0.488888889,0.1,44.5,10.97674847,0.479720983,35.1487203,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,acquisitive,acquisitive,conservative,conservative,5,2
temple,temple.us,miro,0.4325,205.7396482,0.673639423,-0.88875,30.5,39.6611726,0.321900921,11.06735652,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,acquisitive,conservative,conservative,conservative,acquisitive,5,2
temple,temple.us,moci,0.315,200.5831664,0.296960967,-0.231666667,81,17.34798188,0.4221208,24.51713897,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,conservative,conservative,acquisitive,acquisitive,conservative,conservative,4,3
temple,temple.us,pape,0.1225,365.9667568,0.6325,0.433333333,40.75,17.11074884,0.273631936,19.76247684,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,conservative,conservative,acquisitive,acquisitive,5,2
temple,temple.us,phmo,1.065,206.5785008,0.264437387,2.405,32,21.21743611,0.55661987,18.80827777,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,acquisitive,acquisitive,conservative,acquisitive,acquisitive,conservative,3,4
temple,temple.us,poacea,0.195,189.1295278,0.467167832,0.175,60,19.65140676,0.47981442,21.6812244,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,conservative,conservative,conservative,acquisitive,conservative,conservative,5,2
temple,temple.us,pste,0.495,89.16335979,2.48,-2.19,54,22.24628197,0.380245695,20.93277128,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,acquisitive,conservative,conservative,conservative,acquisitive,5,2
temple,temple.us,rubiac,0.45,193.7126118,0.58,0.18,50,12.45937257,0.201050338,34.06051348,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,acquisitive,conservative,conservative,conservative,6,1
temple,temple.us,rutr,0.706666667,110.7107925,0.491020031,0.926666667,42.33333333,15.3033355,0.476733442,29.2994424,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,acquisitive,acquisitive,acquisitive,conservative,4,3
temple,temple.us,scsc,0.582857143,137.9935997,0.515801054,0.105,47.85714286,12.96576505,0.367434798,35.17375619,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,conservative,acquisitive,conservative,conservative,conservative,6,1
temple,temple.us,soha,1.058333333,194.9499367,0.384428366,0.299166667,96,18.3601804,0.418450628,24.35388101,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,acquisitive,conservative,acquisitive,acquisitive,acquisitive,conservative,2,5
temple,temple.us,sonu,0.335,73.68657754,0.505562867,0.065,65,9.111096994,0.476411445,42.89260413,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,conservative,conservative,acquisitive,acquisitive,conservative,conservative,4,3
temple,temple.us,spco,0.77,89.48169871,0.510811492,0.805,59,13.00082669,0.3308788,35.24977315,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,acquisitive,conservative,acquisitive,conservative,acquisitive,conservative,3,4
temple,temple.us,toar,0.709166667,164.6485578,1.186665282,-1.095833333,64.66666667,20.99490151,0.28136682,19.46498304,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,acquisitive,conservative,conservative,conservative,conservative,conservative,acquisitive,5,2
temple,temple.us,trbr,0.56,158.3887896,2.071481481,1.323333333,39,25.60687853,0.714431419,16.47378752,0.77,188.1260848,0.603421123,0.203333333,58.73684211,21.12818274,0.409680396,22.82774509,conservative,conservative,acquisitive,conservative,acquisitive,acquisitive,acquisitive,3,4
