,DatasetID,ObservationID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObsDataID,%nitrogen,%carbon,lat,long
377,35,775381,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3564034,9.3,NA,NA,NA
378,35,775560,"Reich-Oleksyn Global Leaf N, P Database",Sorghastrum nutants,51135,Sorghastrum nutans,3566167,8.3,NA,44.4,-90
381,35,777804,"Reich-Oleksyn Global Leaf N, P Database",Lyonia lucida,34627,Lyonia lucida,3595050,7,NA,NA,NA
1290,94,949764,"Global A, N, P, SLA Database",Lyonia lucida,34627,Lyonia lucida,5859927,7,NA,NA,NA
3,129,964010,The Americas N&P database,Lyonia lucida,34627,Lyonia lucida,6106727,9.56667,NA,NA,NA
4,129,964126,The Americas N&P database,Prosopis glandulosa,44133,Prosopis glandulosa,6107547,29.56111,NA,NA,NA
1287,89,968078,ArtDeco Database,Sorghum halepense,51149,Sorghum halepense,6148827,22.2,NA,-31.4,-64.2
211,20,1288479,GLOPNET - Global Plant Trait Network Database,Quercus minima,45432,Quercus minima,8556910,8.9,NA,29.63,-82.36
214,20,1288616,GLOPNET - Global Plant Trait Network Database,Lyonia lucida,34627,Lyonia lucida,8572420,7,NA,30.73,-82.13
217,20,1289208,GLOPNET - Global Plant Trait Network Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,8637996,15.0329987,NA,45.41,-93.21
220,20,1289210,GLOPNET - Global Plant Trait Network Database,Sorghastrum nutans,51135,Sorghastrum nutans,8638238,19.6622462,NA,45.41,-93.21
223,20,1289417,GLOPNET - Global Plant Trait Network Database,Ambrosia trifida,3170,Ambrosia trifida,8661583,44.1,NA,40.1,-88.23
226,20,1289434,GLOPNET - Global Plant Trait Network Database,Prosopis glandulosa,44133,Prosopis glandulosa,8663506,28,NA,27.73,-98
229,20,1289884,GLOPNET - Global Plant Trait Network Database,Prosopis glandulosa,44133,Prosopis glandulosa,8712942,24.9,NA,34,-107
232,20,1289886,GLOPNET - Global Plant Trait Network Database,Lyonia lucida,34627,Lyonia lucida,8713191,9.2,NA,33.33,-79.22
235,20,1289890,GLOPNET - Global Plant Trait Network Database,Pterocaulon pycnostachyum,44869,Pterocaulon pycnostachyum,8713701,19.7,NA,33.33,-79.22
238,20,1290208,GLOPNET - Global Plant Trait Network Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,8750004,10.4,NA,45.41,-93.21
241,20,1290211,GLOPNET - Global Plant Trait Network Database,Sorghastrum nutans,51135,Sorghastrum nutans,8750358,13.9,NA,45.41,-93.21
1052,67,1308738,Leaf Physiology Database,Prosopis glandulosa,44133,Prosopis glandulosa,9097466,24.9,NA,34.62,-106.9
1055,67,1308743,Leaf Physiology Database,Pterocaulon pycnostachyum,44869,Pterocaulon pycnostachyum,9097626,19.7,NA,33.33,-79.22
1058,67,1308750,Leaf Physiology Database,Lyonia lucida,34627,Lyonia lucida,9097859,9.2,NA,33.33,-79.22
1061,67,1308878,Leaf Physiology Database,Prosopis glandulosa,44133,Prosopis glandulosa,9101914,24.9,NA,34.62,-106.9
1064,67,1308889,Leaf Physiology Database,Pterocaulon pycnostachyum,44869,Pterocaulon pycnostachyum,9102200,19.7,NA,33.33,-79.22
1067,67,1308902,Leaf Physiology Database,Lyonia lucida,34627,Lyonia lucida,9102559,9.2,NA,33.33,-79.22
1070,67,1309347,Leaf Physiology Database,Prosopis glandulosa,44133,Prosopis glandulosa,9112473,27.65,NA,NA,NA
1291,96,1312210,Global Respiration Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,9180853,15,NA,45.41,-93.21
1294,96,1312212,Global Respiration Database,Sorghastrum nutans,51135,Sorghastrum nutans,9180933,19.7,NA,45.41,-93.21
1297,96,1312275,Global Respiration Database,Prosopis glandulosa,44133,Prosopis glandulosa,9183573,24.9,NA,34,-107
1300,96,1312277,Global Respiration Database,Lyonia lucida,34627,Lyonia lucida,9183656,9.2,NA,33.33,-79.22
1303,96,1312281,Global Respiration Database,Pterocaulon pycnostachyum,44869,Pterocaulon pycnostachyum,9183826,19.7,NA,33.33,-79.22
1306,96,1312340,Global Respiration Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,9186266,10.4,NA,45.41,-93.21
1309,96,1312343,Global Respiration Database,Sorghastrum nutans,51135,Sorghastrum nutans,9186386,13.9,NA,45.41,-93.21
1312,96,1312472,Global Respiration Database,Bouteloua gracilis,7911,Bouteloua gracilis,9191725,34.83764,NA,NA,NA
1313,96,1312487,Global Respiration Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,9191965,22.70756,NA,NA,NA
1314,96,1312489,Global Respiration Database,Sorghastrum nutans,51135,Sorghastrum nutans,9191997,24.39706,NA,NA,NA
1315,96,1312504,Global Respiration Database,Bouteloua gracilis,7911,Bouteloua gracilis,9192237,37.8298,NA,NA,NA
1316,96,1312519,Global Respiration Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,9192477,29.21657,NA,NA,NA
1317,96,1312521,Global Respiration Database,Sorghastrum nutans,51135,Sorghastrum nutans,9192509,32.70448,NA,NA,NA
124,159,1322458,Traits of US Desert Woody Plant Species,Prosopis glandulosa,44133,Prosopis glandulosa,9373673,40.98,NA,30.7,-105.06
127,163,1334004,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Commelina erecta,14084,Commelina erecta,9510091,12.36,448.28,39.09,-96.56
131,163,1334012,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Euphorbia spathulata,23591,Euphorbia spathulata,9510155,18.55,447.27,39.09,-96.56
135,163,1334045,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Bouteloua gracilis,7911,Bouteloua gracilis,9510419,15.83,440.64,39.09,-96.56
139,163,1334053,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Euphorbia dentata,23398,Euphorbia dentata,9510483,21.49,438.74,39.09,-96.56
143,163,1334059,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Sorghum halepense,51149,Sorghum halepense,9510531,26.91,437.73,39.09,-96.56
147,163,1334104,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Schizachyrium scoparium,48859,Schizachyrium scoparium,9510891,10.74,430.48,39.09,-96.56
151,163,1334173,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",sporobolus compositus,64897,Sporobolus compositus,9511443,12.74,417.48,39.09,-96.56
155,163,1334246,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Ambrosia trifida,3170,Ambrosia trifida,9512027,34.05,400.52,39.09,-96.56
159,163,1334270,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Sorghastrum nutans,51135,Sorghastrum nutans,9512219,11.23,393.99,39.09,-96.56
163,163,1334303,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Torilis arvensis,54487,Torilis arvensis,9512483,20.12,376.59,39.09,-96.56
167,163,1334326,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",Parietaria pensylvanica,40308,Parietaria pensylvanica,9512667,13.36,362.1,39.09,-96.56
122,152,1396671,Functional Traits of Graminoids in Semi-Arid Steppes Database,Bouteloua gracilis,7911,Bouteloua gracilis,10222219,13.83,441.6,NA,NA
171,193,1398086,Plant Traits for Pinus and Juniperus Forests in Arizona,Bouteloua gracilis,7911,Bouteloua gracilis,10237327,14.83,411.22,35.148,-111.611
175,193,1398087,Plant Traits for Pinus and Juniperus Forests in Arizona,Bouteloua gracilis,7911,Bouteloua gracilis,10237334,17.75,421.35,35.148,-111.611
179,193,1398088,Plant Traits for Pinus and Juniperus Forests in Arizona,Bouteloua gracilis,7911,Bouteloua gracilis,10237341,13.8,423.85,35.2,-111.62
183,193,1398089,Plant Traits for Pinus and Juniperus Forests in Arizona,Bouteloua gracilis,7911,Bouteloua gracilis,10237350,15.45,428.02,35.138,-111.644
187,193,1398090,Plant Traits for Pinus and Juniperus Forests in Arizona,Bouteloua gracilis,7911,Bouteloua gracilis,10237357,15.26,413.66,35.138,-111.644
191,193,1401445,Plant Traits for Pinus and Juniperus Forests in Arizona,Schizachyrium scoparium,48859,Schizachyrium scoparium,10269596,7.35,454.99,35.2,-111.62
195,193,1401446,Plant Traits for Pinus and Juniperus Forests in Arizona,Schizachyrium scoparium,48859,Schizachyrium scoparium,10269603,7.72,445.11,35.2,-111.62
199,193,1401447,Plant Traits for Pinus and Juniperus Forests in Arizona,Schizachyrium scoparium,48859,Schizachyrium scoparium,10269611,15.96,448.12,35.2,-111.62
203,193,1401448,Plant Traits for Pinus and Juniperus Forests in Arizona,Schizachyrium scoparium,48859,Schizachyrium scoparium,10269621,7.74,449.38,35.2,-111.62
207,193,1401449,Plant Traits for Pinus and Juniperus Forests in Arizona,Schizachyrium scoparium,48859,Schizachyrium scoparium,10269629,7.21,445.17,35.2,-111.62
244,226,1656004,"Leaf Structure, Venation and Economic Spectrum",Prosopis glandulosa,44133,Prosopis glandulosa,11246962,32,NA,NA,NA
245,226,1656005,"Leaf Structure, Venation and Economic Spectrum",Prosopis glandulosa,44133,Prosopis glandulosa,11246974,11,NA,NA,NA
246,226,1656006,"Leaf Structure, Venation and Economic Spectrum",Prosopis glandulosa,44133,Prosopis glandulosa,11246986,30,NA,NA,NA
247,227,1660348,Leaf Structure and Economics Spectrum,Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11304028,26.18,NA,45.78333333,8.75
250,227,1660349,Leaf Structure and Economics Spectrum,Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11304036,24.22,NA,45.78333333,8.75
253,227,1660350,Leaf Structure and Economics Spectrum,Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11304044,25.76,NA,45.78333333,8.75
256,228,1668603,Flora d Italia Functional Traits Hoard (FIFTH),Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11399252,12.10943,418.052,45.76666667,8.85
260,228,1668604,Flora d Italia Functional Traits Hoard (FIFTH),Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11399262,15.57342,420.0204,45.76666667,8.85
264,228,1668605,Flora d Italia Functional Traits Hoard (FIFTH),Sorghum halepense (L.) Pers.,51149,Sorghum halepense,11399272,20.00002,439.8453,45.76666667,8.85
268,240,1674387,Nutrient Resorption Efficiency Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,11593155,31.6,NA,-34.6,-58.5
271,240,1674799,Nutrient Resorption Efficiency Database,Prosopis glandulosa,44133,Prosopis glandulosa,11599680,35,NA,32.5,-106.8
274,285,2388920,Functional traits explaining variation in plant life history strategies ,Prosopis glandulosa,44133,Prosopis glandulosa,19696037,27.002,NA,NA,NA
275,286,2460061,Global Respiration Database,Schizachyrium scoparium,48859,Schizachyrium scoparium,19967676,12.7,NA,45.41,-93.21
278,286,2460064,Global Respiration Database,Sorghastrum nutans,51135,Sorghastrum nutans,19967802,16.8,NA,45.41,-93.21
281,286,2460434,Global Respiration Database,Lyonia lucida,34627,Lyonia lucida,19985690,9.2,NA,33.33,-79.22
