LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712400			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712401			62	Mean annual temperature (MAT)	MAT (°C)	6	C										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712402			80	Mean sum of annual precipitation (PPT / MAP / TAP)	MAP (mm)	790	mm/yr										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28766	712405	14	Leaf nitrogen (N) content per leaf dry mass	15	Leaf nitrogen content per dry mass (Nmass)	Leaf %N	1.164577104	%	Single				11.64577104	mg/g			3.25965	Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	% dry mass		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712414			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712418			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712419			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712423			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712424			62	Mean annual temperature (MAT)	MAT (°C)	6	C										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712425			80	Mean sum of annual precipitation (PPT / MAP / TAP)	MAP (mm)	790	mm/yr										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28767	712428	14	Leaf nitrogen (N) content per leaf dry mass	15	Leaf nitrogen content per dry mass (Nmass)	Leaf %N	1.244067215	%	Single				12.44067215	mg/g			2.86558	Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	% dry mass		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712437			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712441			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712442			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712446			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712447			62	Mean annual temperature (MAT)	MAT (°C)	6	C										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712448			80	Mean sum of annual precipitation (PPT / MAP / TAP)	MAP (mm)	790	mm/yr										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28768	712451	14	Leaf nitrogen (N) content per leaf dry mass	15	Leaf nitrogen content per dry mass (Nmass)	Leaf %N	1.358461742	%	Single				13.58461742	mg/g			2.34056	Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	% dry mass		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712460			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712464			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712465			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712469			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712470			62	Mean annual temperature (MAT)	MAT (°C)	6	C										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712471			80	Mean sum of annual precipitation (PPT / MAP / TAP)	MAP (mm)	790	mm/yr										Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28769	712474	14	Leaf nitrogen (N) content per leaf dry mass	15	Leaf nitrogen content per dry mass (Nmass)	Leaf %N	1.388925455	%	Single				13.88925455	mg/g			2.2082	Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	% dry mass		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28770	712483			113	Reference / source	Publication	Fargione											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.		Fargione	
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28770	712487			60	Longitude	Long	-93.166667						-93.166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28770	712488			59	Latitude	Lat	45.4166667						45.4166667					Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.	decimal		
Craine	Joseph	130	Global 15N Database	Bouteloua gracilis	7911	Bouteloua gracilis	28770	712492			264	Soil ph	Soil pH	6.98099995											Craine, J. M., A. J. Elmore, M. P. M. Aidar, M. Bustamante, T. E. Dawson, E. A. Hobbie, A. Kahmen, M. C. Mack, K. K. McLauchlan, A. Michelsen, G. B. Nardoto, L. H. Pardo, J. Penuelas, P. B. Reich, E. A. G. Schuur, W. D. Stock, P. H. Templer, R. A. Virginia, J. M. Welker, and I. J. Wright. 2009. Global patterns of foliar nitrogen isotopes and their relationships with climate, mycorrhizal fungi, foliar nutrient concentrations, and nitrogen availability. New Phytologist 183:980-992.			
