,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
96,96,1687529270,566.5,2023-06-23 10:07:50,10:07:50,5,albert,arch_01_qumi_01,arch_8_qumi_1_226,0.003141567,3.141567212,18.48387282,1508.969265,1271.588633,129.6387553,153.8397657,0.157925297,2.960442371,0.153389929,0.096265341,437.208555,28.58921419,28.02185714,3.799677739,49.86818975,1.768665383,3.546680543,2.031012356,-138.543114,-187.8497454,-13.75344111,97.0622545,38.96065882,3.157824685,18.48387282,1600.038152,1559.874667,3.326672706,65.07194828,3.141567212,13.62917743,17.3346897,-0.000148138,104.9127054,0,0,1,0,53828,2485.140071,2038.560581,0.820300072,0.17592914,6,0.5,0: Broadleaf,2,TRUE,1687529262,1508.969286,1561.436071,17.34832143,13.62496071,1504.068929,17.23369643,500.0388571,101.8501786,0.100052771,26.84487857,28.02185714,999.9,0,0,9992.297143,0,485.1229286,-52.46653214,1535.610357,1583.004643,3.723361786,1561.436071,13.62496071,1.766926429,1.387702143,15.49724643,11.78391786,2000.017143,0.979996393,0.020004007,0,1.904964286,0,12610.23214,17338.35357,45.43728571,46.38385714,44.90371429,44.57342857,43.82321429,1960.007143,40.01,0,1687529269,0,1687528033,9:47:13,1687528033,1687528033,1,0.396,-0.013,2.999,0.06,420,14,0.21,0.03,-52.29294146,-3.400662021,0.357824411,0,3.727186098,-0.090031777,0.010543847,1,1,2,1/2,3.1221,2.75698,0.224435,0.230854,0.0940344,0.0794672,22707.5,22365.5,29854.6,29380.8,37409.1,35635.3,45739.9,43690.8,1.7532,1.76007,-0.00762567,0,28.1483,999.9,61.6,38.1,40.4873,65.7519,19.7676,1,0.780285,8.54784,20.0312,5.22942,11.986,4.97005,3.28965,9999,9999,9999,999.9,4.97263,1.87759,1.87575,1.87852,1.87515,1.87864,1.87581,1.87703,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.95,0.1144,1.802236264,0.003459618,-1.60E-06,4.46E-10,-0.05910491,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,20.6,20.6,3.15796,2.54272,1.39893,2.28027,1.44897,2.53418,43.7269,14.4823,18,508.617,427.271,20.358,36.3135,30.0016,35.6949,35.7023,63.24,64.0243,0,20.3367,1603.86,13.5972,98.7881,100.466,,
97,97,1687532456,3752.5,2023-06-23 11:00:56,11:00:56,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002854552,2.854552134,18.87030114,407.2063888,175.9704026,17.94791916,41.53259435,0.138711896,3.770398835,0.135937967,0.085205836,593.8137509,29.89067212,28.63338,3.937237354,49.73937049,1.856302071,3.73205783,2.080935283,-125.8857491,-186.8536776,-10.82126343,270.2530607,18.7650625,2.819397672,18.87030114,427.0431588,414.7276545,-0.000253886,65.23340909,2.854552134,16.42656667,18.22241515,0.000405209,101.6448244,0,0,1,0,53903,3375.303333,2768.76133,0.820300002,0.175929003,3.21,0.5,0: Broadleaf,2,TRUE,1687532448,407.2064,419.9904667,18.20011667,16.42303,404.3379333,18.06952667,500.0066,101.8922333,0.101732133,27.71414,28.63338,999.9,0,0,10000.60267,0,1375.281667,-12.78404667,414.7550333,427.0030333,1.777073,419.9904667,16.42303,1.854448,1.673378333,16.25345333,14.65165,2000.021667,0.9799983,0.020001827,0,1.97983,0,6660.110667,17338.40667,46.5641,47.99783333,46.6436,46.2311,45.30786667,1960.021667,40.00066667,0,1687532456,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-12.76969,-0.440924578,0.056665191,0,1.7691865,0.17679985,0.017634871,0,0,2,0/2,3.11939,2.75796,0.0907796,0.0939553,0.096415,0.0900226,26313.1,26102.3,29518.8,29118.4,36923.4,34916.2,45266.2,43306.5,1.70765,1.67572,-0.0452995,0,29.4038,999.9,54.9,43.2,47.2979,65.3558,18.9623,1,1.19282,9.28105,19.9907,5.23197,11.9912,4.9704,3.29025,9999,9999,9999,999.9,4.97264,1.87802,1.8762,1.87897,1.87546,1.87887,1.87618,1.87738,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.869,0.131,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.5,41.5,1.06567,2.59277,1.39893,2.27539,1.44897,2.57446,48.888,13.379,18,509.527,402.692,21.5709,40.9032,30.0006,40.4434,40.4631,21.3644,62.1235,0,16.7649,419.998,16.4398,97.7304,99.577,,
98,98,1687532461,3757.5,2023-06-23 11:01:01,11:01:01,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002871793,2.871793166,18.82055186,407.1870232,177.4558339,18.09941515,41.53059844,0.139328843,3.770839762,0.136530772,0.085578448,592.7981802,29.90222206,28.65546207,3.942284827,49.7249753,1.857942249,3.736436746,2.084342578,-126.6460786,-187.2837986,-10.84718203,268.0211209,18.59083667,2.83945825,18.82055186,426.801843,414.6741152,-0.029349019,65.23340909,2.871793166,16.43071658,18.23760364,0.000367882,101.6448244,0,0,1,0,53612,3369.53069,2764.026033,0.820300002,0.175929005,3.21,0.5,0: Broadleaf,2,TRUE,1687532453,407.1870345,419.8636897,18.2162069,16.42661379,404.3185517,18.08533103,500.036931,101.8925862,0.10132831,27.73421379,28.65546207,999.9,0,0,10002.28241,0,1369.546552,-12.67664828,414.7420345,426.8756897,1.789573103,419.8636897,16.42661379,1.856094138,1.673749655,16.26737586,14.65508966,1999.984138,0.979998034,0.020002114,0,1.947689655,0,6659.314138,17338.07931,46.58372414,48.02351724,46.6592069,46.26272414,45.32068966,1959.984138,40,0,1687532461,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-12.75753,0.167184991,0.12252826,0,1.78001,0.160296585,0.015652921,0,0,2,0/2,3.11912,2.75711,0.0907615,0.0935718,0.0964723,0.0900356,26313.4,26113.2,29518.6,29118.2,36920.6,34915.1,45265.7,43305.8,1.7071,1.67582,-0.0448897,0,29.4306,999.9,54.9,43.2,47.3019,65.6958,19.1386,1,1.19358,9.28105,19.9905,5.22777,11.9918,4.96885,3.28938,9999,9999,9999,999.9,4.97264,1.87794,1.87613,1.87889,1.87545,1.87883,1.87608,1.87729,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.869,0.1313,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.5,41.6,1.03882,2.60376,1.39893,2.27539,1.44897,2.37793,48.9191,13.3528,18,509.216,402.782,21.5902,40.9104,30.0007,40.4485,40.4681,20.8233,62.1235,0,16.7763,399.954,16.4398,97.7294,99.5757,,
99,99,1687532466,3762.5,2023-06-23 11:01:06,11:01:06,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002888727,2.888726772,16.92954754,406.8214185,199.4997473,20.34784334,41.49347856,0.139832416,3.770985124,0.137014409,0.085882462,592.6143878,29.92056754,28.68314643,3.948620832,49.69949978,1.859462662,3.741411222,2.08915817,-127.3928506,-188.2882714,-10.90768022,266.0255856,15.28569618,2.857279717,16.92954754,419.2706433,412.1267152,-0.735184925,65.23340909,2.888726772,16.43348624,18.25184788,0.000290702,101.6448244,0,0,1,0,53875,3368.486071,2763.169125,0.8203,0.175929001,3.21,0.5,0: Broadleaf,2,TRUE,1687532458,406.8214286,417.3814286,18.23103929,16.43005357,403.95375,18.09990357,499.9848214,101.8934643,0.100867071,27.75699286,28.68314643,999.9,0,0,10002.76143,0,1368.487857,-10.56011571,414.3758571,424.3536429,1.8009725,417.3814286,16.43005357,1.857620714,1.674112857,16.28026786,14.65845,1999.998214,0.9799985,0.020001646,0,1.897532143,0,6658.7875,17338.19643,46.60475,48.04428571,46.68035714,46.28985714,45.34125,1959.998214,40,0,1687532466,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-11.46875537,18.82478091,2.589369991,0,1.793661707,0.135445923,0.013400646,0,0,2,0/2,3.11942,2.75721,0.0902409,0.0914198,0.0965246,0.0900469,26328.3,26175.3,29518.6,29118.3,36918.5,34914.9,45265.7,43306.3,1.708,1.67533,-0.0443682,0,29.4588,999.9,54.9,43.2,47.301,65.7058,19.2268,1,1.19418,9.28105,19.9902,5.22657,11.9918,4.96845,3.28915,9999,9999,9999,999.9,4.97264,1.87801,1.8762,1.87897,1.87546,1.87891,1.87616,1.87737,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.861,0.1315,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.6,41.7,1.0083,2.60376,1.39893,2.27539,1.44897,2.55127,48.9191,13.3703,18,509.804,402.5,21.6128,40.9186,30.0007,40.4535,40.4731,20.2127,62.1235,0,16.7897,379.917,16.5113,97.7294,99.5765,,
100,100,1687532471,3767.5,2023-06-23 11:01:11,11:01:11,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002901922,2.901922003,15.71619043,404.4790647,211.4131402,21.56313258,41.25493661,0.140080049,3.770904091,0.137252101,0.086031888,592.4421408,29.94502657,28.71505185,3.955933908,49.6578861,1.860941187,3.747523975,2.094992721,-127.9747603,-189.0872753,-10.95746839,264.4226368,7.117959119,2.875516222,15.71619043,404.0982843,403.8610727,-1.886025111,65.23340909,2.901922003,16.43520468,18.26273818,0.00015273,101.6448244,0,0,1,0,53738,3367.507037,2762.36602,0.820299999,0.175928999,3.21,0.5,0: Broadleaf,2,TRUE,1687532464,404.4790741,409.7948889,18.24537407,16.43318519,401.617,18.1139963,500.057963,101.8947778,0.10045563,27.78494815,28.71505185,999.9,0,0,10002.31741,0,1367.502222,-5.315887963,411.996,416.6417037,1.812188889,409.7948889,16.43318519,1.859106667,1.674454074,16.29281852,14.66160741,2000.004815,0.979998889,0.020001252,0,1.8514,0,6658.43963,17338.25926,46.625,48.083,46.69166667,46.32833333,45.36333333,1960.004815,40,0,1687532471,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-7.991378659,55.30350159,6.035554481,0,1.804796098,0.129001254,0.012748289,0,0,2,0/2,3.1193,2.75711,0.0887457,0.0886677,0.0965626,0.0900527,26370.8,26253.9,29517.7,29117.7,36916,34914,45264.6,43305.6,1.70725,1.67525,-0.044927,0,29.4887,999.9,54.9,43.2,47.3013,65.6258,19.2628,1,1.19479,9.28105,19.9906,5.22972,11.9918,4.96955,3.28965,9999,9999,9999,999.9,4.97263,1.87801,1.8762,1.87897,1.87546,1.87888,1.87619,1.87741,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.841,0.1317,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.7,41.7,0.97168,2.6001,1.39893,2.27539,1.44897,2.46704,48.888,13.3615,18,509.368,402.487,21.6365,40.9268,30.0007,40.4585,40.4792,19.4885,62.1235,0,16.8014,366.526,16.5244,97.7268,99.5748,,
101,101,1687532476,3772.5,2023-06-23 11:01:16,11:01:16,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002909701,2.909701298,14.51114106,398.9167413,219.8186824,22.42065353,40.68796132,0.140109498,3.77064047,0.137280181,0.086049557,593.7882559,29.97441094,28.74254643,3.962245442,49.61819281,1.862126839,3.75291145,2.100118603,-128.3178273,-189.6613715,-10.99435706,264.8147001,-2.826533515,2.889978248,14.51114106,387.6834404,391.7309273,-2.544584128,65.23340909,2.909701298,16.43702357,18.27013636,9.54E-05,101.6448244,0,0,1,0,53806,3375.158571,2768.642568,0.820299997,0.175928995,3.21,0.5,0: Broadleaf,2,TRUE,1687532468,398.91675,397.84225,18.25683929,16.43534286,396.0680357,18.12527143,499.9990357,101.8956429,0.100480893,27.80955357,28.74254643,999.9,0,0,10001.2075,0,1375.141786,1.074471964,406.3350714,404.4901786,1.821511429,397.84225,16.43534286,1.860291071,1.674686786,16.30281429,14.66376429,2000.016786,0.979999036,0.020001093,0,1.821567857,0,6657.843929,17338.35714,46.63607143,48.1025,46.71175,46.348,45.37717857,1960.016786,40,0,1687532476,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,-3.047440122,80.5758434,8.066048276,0,1.814790976,0.122034146,0.012104192,0,0,2,0/2,3.11957,2.75714,0.0866045,0.0857329,0.0965894,0.0900597,26432.1,26338.1,29517,29117.4,36913.9,34913.1,45263.6,43305.1,1.70735,1.67493,-0.0450015,0,29.518,999.9,54.9,43.2,47.3028,65.4858,18.754,1,1.19565,9.28105,19.9904,5.22822,11.9918,4.96905,3.2895,9999,9999,9999,999.9,4.97262,1.87802,1.8762,1.87897,1.87546,1.87888,1.87617,1.87739,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.81,0.1318,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.8,41.8,0.939941,2.60864,1.39893,2.27539,1.44897,2.44507,48.888,13.3528,18,509.472,402.323,21.6553,40.935,30.0008,40.4656,40.486,18.8363,62.1235,0,16.8104,353.167,16.5456,97.7246,99.5738,,
102,102,1687532481,3777.5,2023-06-23 11:01:21,11:01:21,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002909706,2.909705884,14.19440633,388.6658804,213.1716401,21.74277574,39.64258601,0.139814602,3.770996895,0.136997314,0.085871715,592.8640921,29.99180237,28.76556296,3.967535767,49.58160461,1.863135047,3.757714301,2.10440072,-128.3180295,-189.9043838,-11.00986596,263.6318128,-12.61899552,2.891194723,14.19440633,370.8471841,377.3011576,-2.958941737,65.23340909,2.909705884,16.4441487,18.27733879,6.40E-05,101.6448244,0,0,1,0,53766,3369.905556,2764.333516,0.820299997,0.175928993,3.21,0.5,0: Broadleaf,2,TRUE,1687532474,388.6658889,381.2865926,18.26664444,16.44457037,385.8418519,18.13491852,500.0459259,101.8963333,0.100234944,27.83146296,28.76556296,999.9,0,0,10002.52556,0,1369.882593,7.379305741,395.8974444,387.6612593,1.822087778,381.2865926,16.44457037,1.861303333,1.675639259,16.31135556,14.67257037,2000.022963,0.979998889,0.020001241,0,1.914792593,0,6656.41963,17338.40741,46.64337037,48.125,46.73366667,46.37033333,45.39796296,1960.022963,40,0,1687532481,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,2.730814512,74.75777281,7.544916067,0,1.820777805,0.046807526,0.011352759,1,1,2,1/2,3.1192,2.757,0.0840516,0.0827168,0.0966218,0.0904746,26505.1,26424.5,29516.1,29117,36911.4,34896.6,45262.3,43304.4,1.70737,1.67528,-0.0471249,0,29.5449,999.9,54.9,43.2,47.2954,65.2258,19.2067,1,1.19652,9.28105,19.9903,5.22777,11.9918,4.96835,3.28953,9999,9999,9999,999.9,4.97261,1.87804,1.87622,1.87897,1.87547,1.87895,1.87619,1.87741,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.776,0.132,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,41.9,41.9,0.905762,2.6001,1.39893,2.27539,1.44897,2.49756,48.9191,13.379,18,509.522,402.573,21.6712,40.9432,30.0009,40.4717,40.4922,18.0974,61.8506,0,16.8158,333.115,16.55,97.7217,99.5721,,
103,103,1687532486,3782.5,2023-06-23 11:01:26,11:01:26,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002853442,2.853441726,13.25183779,376.4559564,209.0460414,21.32199736,38.39724901,0.136960219,3.769838754,0.134254777,0.084147858,595.2267299,30.0306131,28.77858214,3.970530938,49.57820744,1.864711988,3.761152498,2.105818951,-125.8367801,-189.307476,-10.98019939,269.1022744,-17.68089171,2.81773391,13.25183779,353.9625761,361.8539273,-3.113885327,65.23340909,2.853441726,16.63692344,18.33531818,0.012066742,101.6448244,0,0,1,0,53653,3383.335,2775.349694,0.820299998,0.175928996,3.21,0.5,0: Broadleaf,2,TRUE,1687532478,376.4559643,365.7861071,18.28208929,16.50622143,373.6616786,18.15008929,500.01275,101.89625,0.100406875,27.84713214,28.77858214,999.9,0,0,9998.031071,0,1383.321429,10.6697975,383.4661071,371.9238571,1.775879286,365.7861071,16.50622143,1.862876071,1.681920357,16.3246,14.73038571,2000.013571,0.979998714,0.020001421,0,1.936321429,0,6654.666786,17338.32143,46.66264286,48.14492857,46.74775,46.375,45.41707143,1960.013571,40,0,1687532486,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,8.606763375,43.00880518,4.299596259,0,1.787905,-0.504937486,0.062457423,0,0,2,0/2,3.11938,2.75733,0.0812867,0.0796417,0.0968517,0.0909089,26584.6,26512.5,29515.5,29116.5,36900.9,34879.3,45261,43303.6,1.707,1.67537,-0.0474975,0,29.5704,999.9,54.9,43.2,47.3022,65.7158,18.8862,1,1.19747,9.28105,19.99,5.22627,11.992,4.9685,3.28912,9999,9999,9999,999.9,4.97264,1.87799,1.87619,1.87897,1.87546,1.87887,1.87619,1.8774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.739,0.133,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,42,42,0.869141,2.60864,1.39893,2.27539,1.44897,2.39746,48.888,13.3528,18,509.326,402.674,21.6852,40.9534,30.0009,40.4777,40.4993,17.4362,61.8506,0,16.8293,319.758,16.5752,97.7193,99.5703,,
104,104,1687532491,3787.5,2023-06-23 11:01:31,11:01:31,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002913509,2.913509087,12.62186612,361.1392887,204.7041573,20.8792487,36.83519243,0.139951254,3.76947048,0.137127397,0.08595359,596.3169128,30.03972653,28.79105926,3.973403254,49.62818621,1.868355427,3.764706248,2.105047826,-128.4857507,-188.5359407,-10.93807747,268.3571439,-21.07312936,2.752852049,12.62186612,337.1294997,345.9155879,-3.205190006,65.23340909,2.913509087,16.65941381,18.39467818,0.012171824,101.6448244,0,0,1,0,53671,3389.531852,2780.432959,0.820299994,0.175928989,3.21,0.5,0: Broadleaf,2,TRUE,1687532484,361.1392963,348.249,18.31771481,16.58281111,358.3828519,18.18508148,500.0155185,101.8968148,0.100374574,27.86331481,28.79105926,999.9,0,0,9996.544074,0,1389.494815,12.89032222,367.8772963,354.12,1.734902963,348.249,16.58281111,1.866515556,1.689733704,16.3552037,14.80224815,2000.037037,0.979999111,0.020001026,0,1.945537037,0,6652.72,17338.53704,46.67322222,48.16633333,46.75,46.39107407,45.4347037,1960.037037,40,0,1687532491,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,11.10584175,27.67000919,2.768853978,0,1.7646485,-0.59380728,0.067325364,0,0,2,0/2,3.11934,2.75718,0.0783838,0.0764885,0.0970697,0.0909335,26667.7,26602.7,29514.6,29116,36890.9,34877.6,45259.8,43303,1.70683,1.67523,-0.048019,0,29.5988,999.9,54.9,43.2,47.2976,65.6058,18.9022,1,1.1982,9.28105,19.9907,5.22882,11.9917,4.9693,3.28958,9999,9999,9999,999.9,4.97262,1.87803,1.8762,1.87897,1.87546,1.87889,1.87618,1.8774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.698,0.1341,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,42,42.1,0.83252,2.6062,1.39893,2.27539,1.44897,2.55859,48.9191,13.3703,18,509.257,402.615,21.7038,40.9617,30.0009,40.4848,40.5053,16.6949,62.1335,0,16.8868,299.715,16.554,97.7165,99.5688,,
105,105,1687532496,3792.5,2023-06-23 11:01:36,11:01:36,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002921011,2.921010523,11.71966535,346.6227787,201.4167458,20.54425158,35.35508203,0.140397669,3.769116952,0.137555705,0.086222864,596.8520053,30.05826305,28.80604286,3.976854972,49.70135009,1.873012087,3.76853362,2.103842884,-128.816564,-188.0244487,-10.91118533,269.0998073,-22.83188557,2.731327907,11.71966535,320.1959024,329.7435212,-3.237978059,65.23340909,2.921010523,16.65758954,18.43346424,0.007819773,101.6448244,0,0,1,0,53781,3392.573214,2782.927804,0.820299999,0.175928998,3.21,0.5,0: Broadleaf,2,TRUE,1687532488,346.6227857,332.5735,18.36309286,16.6419,343.9025357,18.22965,500.0347857,101.8981429,0.100583718,27.88072857,28.80604286,999.9,0,0,9995.039643,0,1392.565357,14.04928929,353.1061429,338.2013929,1.72119,332.5735,16.6419,1.871163929,1.695777143,16.39424643,14.85780714,2000.007857,0.979999143,0.020000993,0,1.916092857,0,6651.293571,17338.29286,46.687,48.18703571,46.7655,46.41042857,45.43478571,1960.007857,40,0,1687532496,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,13.12281317,16.16496251,1.636699777,0,1.746438537,-0.228889129,0.056732032,0,0,2,0/2,3.11928,2.75737,0.0753846,0.0732903,0.097203,0.0907708,26753.5,26694.2,29513.7,29115.4,36884.4,34882.8,45258.7,43302,1.70715,1.6748,-0.0486895,0,29.6277,999.9,54.8,43.2,47.2133,65.4658,19.1466,1,1.19903,9.28105,19.9905,5.22882,11.9917,4.9693,3.28965,9999,9999,9999,999.9,4.97263,1.87804,1.87621,1.87897,1.87546,1.8789,1.8762,1.8774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.658,0.1347,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,42.1,42.2,0.800781,2.61597,1.39893,2.27539,1.44897,2.36816,48.9191,13.3528,18,509.5,402.39,21.7234,40.9719,30.0008,40.4919,40.5123,16.0244,62.1335,0,16.9333,286.284,16.5428,97.7138,99.5666,,
106,106,1687532501,3797.5,2023-06-23 11:01:41,11:01:41,5,albert,arch_01_qumi_01_pano_01,arch_8_pase_1_229,0.002929813,2.929813219,11.21344475,329.970734,191.4969129,19.53274298,33.65711458,0.140848817,3.769818351,0.13798928,0.086495383,579.9027083,29.99939245,28.82575556,3.981400099,49.76697273,1.877914341,3.773414854,2.103485758,-129.204763,-187.5567189,-10.88428719,252.2569392,-24.15294167,2.814471816,11.21344475,303.3948469,313.4058909,-3.263122782,65.23340909,2.929813219,16.5988444,18.4407697,0.000515784,101.6448244,0,0,1,0,53626,3296.231481,2703.898684,0.8203,0.175929,3.21,0.5,0: Broadleaf,2,TRUE,1687532494,329.9707407,315.0612593,18.41087037,16.6373037,327.2925185,18.27658148,500.0162963,101.8997407,0.100561444,27.90291481,28.82575556,999.9,0,0,9997.609259,0,1296.25,14.90947778,336.1593704,320.391963,1.773555926,315.0612593,16.6373037,1.876061111,1.695334815,16.43532963,14.85376667,1999.981481,0.979999222,0.020000904,0,1.908044444,0,6650.58963,17338.06296,46.70333333,48.201,46.78674074,46.44407407,45.45333333,1959.981852,39.99962963,0,1687532501,0,1687529969,10:19:28,1687529969,1687529967,3,0.001,0.011,2.899,0.095,420,16,0.15,0.06,14.417825,9.742766229,0.960047468,0,1.74918875,0.597143752,0.061257149,0,0,2,0/2,3.11946,2.75738,0.07231,0.070102,0.0972237,0.09068,26842,26785.4,29513.3,29115,36882.7,34885.6,45257.9,43301.4,1.70695,1.6746,-0.0490621,0,29.6583,999.9,54.9,43.2,47.295,65.5358,18.774,1,1.20001,9.28105,19.9902,5.22777,11.9918,4.9689,3.28938,9999,9999,9999,999.9,4.97262,1.87805,1.87622,1.879,1.87551,1.87896,1.87622,1.87743,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.617,0.1348,1.701858817,0.003459618,-1.60E-06,4.46E-10,-0.057980403,-0.00110443,0.000863449,-1.24E-05,0,2120,2,32,42.2,42.2,0.760498,2.61108,1.39893,2.27539,1.44897,2.53418,48.9191,13.3703,18,509.418,402.305,21.7402,40.9822,30.001,40.4989,40.5194,15.27,62.1335,0,16.9598,265.967,16.5428,97.7123,99.5652,,
