,obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,id_updated_mk,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,?Vc,Edyn,Hr,Hs,dHs/dt,?Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,
97,97,1686156792,4589.5,2023-06-07 12:53:11,12:53:11,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156784,0.008777585,8.777584618,33.02646674,383.6891266,250.2412246,22.73786339,34.86344411,0.461003676,2.956367907,0.424469761,0.268334345,358.3920018,28.50946118,28.00376452,3.795672569,50.07016806,1.976385977,3.947232561,1.819286592,-387.0914817,107.3161345,7.939451091,86.55610572,32.90448775,8.807795162,33.02646674,425.5013873,392.1466485,-0.024123892,64.9700373,8.777584618,13.14967461,21.72988788,0.000949683,104.4423477,2,0,1,0,47682,2037.141639,1671.067136,0.820299926,0.175928858,5,0.5,0: Broadleaf,2,TRUE,1686156784,383.6891613,419.9753871,21.7510871,13.13432903,380.6534194,21.50296452,499.9685484,90.76390968,0.099869594,28.67708387,28.00376452,999.9,0,0,9993.444194,0,37.15067097,-36.28616129,392.2203548,425.5647742,8.616760645,419.9753871,13.13432903,1.974213548,1.192122581,17.2390129,9.503450968,1999.990968,0.980005355,0.0199945,0,1.996219355,0,12085.74516,17338.17742,41.897,42.304,40.93522581,40.64093548,40.55006452,1960.000968,39.99,0,1686156857,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-36.28267317,0.097434146,0.03708238,1,8.59729122,0.178214634,0.049580862,0,1,2,1/2,3.13487,2.72775,0.079231,0.0858041,0.0993589,0.069877,27275.6,26875.5,30170.9,29668.8,37531,36339.3,46183.5,44111.4,1.8018,1.68913,-0.00854582,0,28.1562,999.9,40.3,43.9,40.4315,64.0765,21.0938,1,0.371834,1.85985,20.2246,5.23152,11.974,4.9713,3.29033,9999,9999,9999,999.9,4.97287,1.87783,1.87598,1.87876,1.87533,1.87881,1.87605,1.87726,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.035,0.2478,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43136.6,43136.7,1.10596,2.60986,1.39893,2.33154,1.44897,2.47437,46.1818,14.2021,18,482.819,385.104,25.1925,31.8419,30.001,31.4763,31.5362,22.1567,62.1843,0,25.1248,419.99,13.2228,99.7813,101.44,,
98,98,1686156797,4594.5,2023-06-07 12:53:16,12:53:16,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156789,0.008786039,8.786038696,32.91580174,383.6581378,250.4487531,22.75655504,34.86037532,0.460397909,2.957042878,0.423963493,0.268009988,358.3765971,28.51933698,28.01337241,3.797799013,49.9898811,1.974602853,3.950005101,1.82319616,-387.4643065,107.7388492,7.96976637,86.62090621,32.80948001,8.796257663,32.91580174,425.4642182,392.12,-0.002115193,64.9700373,8.786038696,13.1484651,21.73996424,0.000486014,104.4423477,2,0,1,0,47595,2037.054131,1670.995349,0.820299924,0.175928853,5,0.5,0: Broadleaf,2,TRUE,1686156789,383.6581724,419.843,21.73162069,13.12637931,380.6225172,21.48388276,499.9918276,90.76348966,0.0996301,28.68918966,28.01337241,999.9,0,0,9997.065517,0,37.04688966,-36.18483103,392.1808621,425.4272759,8.605234138,419.843,13.12637931,1.972437241,1.191396207,17.2247931,9.494443103,2000.007241,0.980005448,0.019994403,0,2.018834483,0,12085.79655,17338.30345,41.84248276,42.30772414,40.95448276,40.67003448,40.56437931,1960.017241,39.99,0,1686156862,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-36.2694878,0.341190941,0.091914261,0,8.606998537,-0.088437282,0.041180936,1,1,2,1/2,3.13476,2.72754,0.0792153,0.0854936,0.099386,0.0698626,27274.9,26884.1,30169.6,29668.2,37528.1,36339.5,46181.2,44110.9,1.80182,1.68922,-0.00866503,0,28.1682,999.9,40.3,43.9,40.4221,63.6965,21.1699,1,0.373346,2.09242,20.2208,5.22822,11.974,4.9701,3.28963,9999,9999,9999,999.9,4.97285,1.87779,1.87595,1.87872,1.87531,1.87881,1.87601,1.87727,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.035,0.2479,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43136.6,43136.7,1.08032,2.6062,1.39893,2.33032,1.44897,2.51099,46.1527,14.2021,18,482.863,385.188,25.1709,31.8496,30.0013,31.4811,31.5406,21.6155,62.1843,0,25.1036,399.942,13.2228,99.7766,101.439,,
99,99,1686156802,4599.5,2023-06-07 12:53:21,12:53:21,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156794,0.008781621,8.781620825,32.57118639,383.2436086,251.130701,22.81851042,34.82269687,0.459707906,2.95517208,0.423356952,0.267624143,358.3389994,28.52843828,28.02157857,3.799616044,49.96952108,1.974746913,3.951902821,1.82486913,-387.2694784,107.6827344,7.971312261,86.72356776,30.84832113,8.77806593,32.57118639,418.5454485,389.2427939,-0.788041038,64.9700373,8.781620825,13.14475983,21.73635576,-7.27E-05,104.4423477,2,0,1,0,47660,2036.840432,1670.820051,0.820299923,0.175928852,5,0.5,0: Broadleaf,2,TRUE,1686156794,383.2436429,417.4573214,21.73321429,13.14561786,380.2091071,21.48544643,499.9821786,90.76363571,0.099450029,28.69747143,28.02157857,999.9,0,0,9987.142143,0,36.830075,-34.21371071,391.7578214,423.0181429,8.587592143,417.4573214,13.14561786,1.972585714,1.193144643,17.22598214,9.516284643,2000.010357,0.9800055,0.019994354,0,2.004389286,0,12086.27857,17338.32143,41.88817857,42.312,40.97075,40.67828571,40.56889286,1960.020357,39.99,0,1686156867,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-34.82837561,20.49266132,2.718322271,0,8.603737561,-0.193058676,0.029774374,0,0,2,0/2,3.1348,2.72765,0.0786731,0.0836214,0.0993679,0.0698514,27290.3,26938.4,30169,29667.5,37528.2,36338.6,46180.6,44109.5,1.80203,1.68897,-0.00932068,0,28.1802,999.9,40.3,43.9,40.4234,64.2765,21.1258,1,0.374672,2.2102,20.2194,5.22822,11.974,4.9703,3.2895,9999,9999,9999,999.9,4.97288,1.87787,1.87598,1.87878,1.87532,1.87882,1.87607,1.87729,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.026,0.2478,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43136.7,43136.8,1.0498,2.6062,1.39893,2.33032,1.44897,2.51831,46.1527,14.2021,18,483.01,385.073,25.1317,31.858,30.0013,31.4867,31.5452,20.9903,61.9123,0,25.0748,379.905,13.2228,99.7749,101.436,,
100,100,1686156807,4604.5,2023-06-07 12:53:26,12:53:26,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156799,0.00876472,8.764720015,31.82760886,380.7100407,251.1460037,22.82001171,34.59265709,0.458590245,2.956092215,0.422418693,0.267023399,358.280732,28.54012242,28.02589259,3.80057157,49.95824754,1.975174188,3.953649869,1.825397382,-386.5241527,108.2433185,8.010791856,88.0106897,26.08694705,8.769488642,31.82760886,403.9361944,380.6290182,-1.903296485,64.9700373,8.764720015,13.1704999,21.74376061,0.000100017,104.4423477,2,0,1,0,47754,2036.509248,1670.548379,0.820299923,0.175928851,5,0.5,0: Broadleaf,2,TRUE,1686156799,380.7100741,410.1352222,21.73781111,13.15907778,377.6824074,21.48995556,500.0073333,90.76427037,0.099256704,28.70509259,28.02589259,999.9,0,0,9991.944444,0,36.49443333,-29.42518148,389.1698148,415.604,8.578725556,410.1352222,13.15907778,1.973016667,1.194374444,17.22943333,9.531581852,2000.014815,0.980005778,0.019994067,0,2.027748148,0,12082.1037,17338.35926,41.891,42.312,40.99055556,40.70107407,40.58766667,1960.024815,39.99,0,1686156872,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-31.45715854,53.85382787,5.802981114,0,8.580405854,-0.1007423,0.024372677,0,0,2,0/2,3.13499,2.72762,0.077233,0.0811328,0.0994078,0.0703981,27332.4,27010.9,30168.4,29666.9,37525.6,36316.3,46179.5,44108.6,1.80198,1.68883,-0.00971556,0,28.1907,999.9,40.2,43.9,40.3296,64.0765,21.0096,1,0.375899,2.27457,20.2184,5.22852,11.974,4.9704,3.2895,9999,9999,9999,999.9,4.97285,1.87788,1.87598,1.87879,1.87532,1.87881,1.87605,1.87729,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.002,0.2481,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43136.8,43136.9,1.01318,2.6001,1.39893,2.33032,1.44897,2.54517,46.1527,14.2021,18,483.012,385.021,25.0891,31.8663,30.0013,31.4915,31.5507,20.253,61.9123,0,25.0477,366.532,13.2133,99.7727,101.434,,
101,101,1686156812,4609.5,2023-06-07 12:53:31,12:53:31,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156804,0.008776531,8.776531063,30.99128227,374.9486817,248.8301041,22.6097236,34.06937472,0.459341767,2.956798452,0.423064522,0.267435535,358.223099,28.54278893,28.03017143,3.801519511,49.97345603,1.976463909,3.95502746,1.825055603,-387.0450199,108.5447251,8.031590649,87.75439486,20.18137647,8.725662661,30.99128227,387.690485,368.3405939,-2.565367794,64.9700373,8.776531063,13.33299663,21.81036848,0.014218112,104.4423477,2,0,1,0,47540,2036.181575,1670.279596,0.820299926,0.175928858,5,0.5,0: Broadleaf,2,TRUE,1686156804,374.9487143,398.4008571,21.75186786,13.21633571,371.9367857,21.50373929,500.0193929,90.76480714,0.099293425,28.7111,28.03017143,999.9,0,0,9995.625714,0,36.19086071,-23.45221071,383.2857143,403.73575,8.535536071,398.4008571,13.21633571,1.974305,1.199578214,17.23974286,9.5960625,1999.990714,0.980005821,0.019994018,0,1.983242857,0,12062.14286,17338.16429,41.92385714,42.312,40.99764286,40.70289286,40.59117857,1960.000714,39.99,0,1686156877,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-27.0525175,76.38009343,7.441440082,0,8.551124,-0.49396728,0.058628205,0,0,2,0/2,3.13492,2.72746,0.0752136,0.0784838,0.0996237,0.0705561,27391.3,27088.2,30167.5,29666.3,37515.6,36309.4,46178.4,44108,1.80152,1.68855,-0.00914559,0,28.2015,999.9,40.2,43.9,40.3257,64.1765,20.8734,1,0.376679,2.29921,20.2183,5.22852,11.974,4.97045,3.28965,9999,9999,9999,999.9,4.97281,1.87782,1.87594,1.87875,1.87531,1.87881,1.87604,1.87726,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.968,0.2494,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43136.9,43137,0.979004,2.59888,1.39893,2.33032,1.44897,2.52441,46.1527,14.2021,18,482.797,384.9,25.0515,31.8747,30.001,31.4977,31.5565,19.5833,62.2075,0,25.0128,353.175,13.1456,99.7701,101.432,,
102,102,1686156817,4614.5,2023-06-07 12:53:36,12:53:36,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156809,0.008799458,8.799457856,29.77249046,364.5303392,243.579198,22.13270403,33.12286999,0.460872479,2.958059826,0.424377588,0.268273679,358.1807645,28.54661521,28.03813333,3.803283954,50.01288984,1.979160237,3.957300295,1.824123717,-388.0560915,108.9012893,8.055254414,87.08121671,14.32535441,8.722526931,29.77249046,370.9944302,354.2355879,-2.854461618,64.9700373,8.799457856,13.23183323,21.82128545,0.002416396,104.4423477,2,0,1,0,47732,2035.940952,1670.082212,0.820299926,0.175928857,5,0.5,0: Broadleaf,2,TRUE,1686156809,364.5303704,382.0358889,21.78144444,13.24864444,361.5473333,21.53272963,499.9846296,90.76518889,0.0993193,28.72100741,28.03813333,999.9,0,0,10002.26593,0,35.94687778,-17.50548148,372.6468148,387.1650741,8.5328,382.0358889,13.24864444,1.976997778,1.202515926,17.26127778,9.632547037,1999.994074,0.980006111,0.019993711,0,1.977555556,0,12017.05185,17338.20741,41.84466667,42.312,41.00677778,40.71274074,40.60625926,1960.004074,39.99,0,1686156882,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-21.5184725,69.5523591,6.833006768,0,8.54545975,-0.208057598,0.062905273,0,0,2,0/2,3.13498,2.72787,0.0728935,0.0757676,0.0996266,0.0699406,27459.2,27167.2,30166.6,29665.4,37514.2,36332.7,46177.1,44107.2,1.8016,1.68835,-0.0104085,0,28.2115,999.9,40.2,43.9,40.3268,63.9465,20.8494,1,0.377706,2.3531,20.2178,5.22852,11.974,4.9704,3.28965,9999,9999,9999,999.9,4.97282,1.87777,1.87592,1.87872,1.87531,1.87881,1.876,1.87724,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.929,0.2494,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137,43137.1,0.941162,2.59766,1.39893,2.33032,1.44897,2.50732,46.1818,14.2021,18,482.88,384.82,25.0148,31.8832,30.001,31.504,31.562,18.8281,62.2075,0,24.9606,333.14,13.1477,99.7673,101.43,,
103,103,1686156822,4619.5,2023-06-07 12:53:41,12:53:41,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156814,0.008747602,8.747601554,28.46203422,352.4997559,236.0965843,21.45293777,32.02992262,0.457847877,2.95744845,0.421803551,0.266628795,358.1149566,28.55838808,28.04653214,3.805145994,50.05591475,1.980729515,3.957033899,1.82441648,-385.7692285,107.35455,7.942771981,87.64304996,11.00281952,8.749178794,28.46203422,354.0834544,339.3466848,-3.002181302,64.9700373,8.747601554,13.15366221,21.77901576,-0.00895353,104.4423477,2,0,1,0,47733,2035.566954,1669.775416,0.820299923,0.175928852,5,0.5,0: Broadleaf,2,TRUE,1686156814,352.4997857,366.5877143,21.798575,13.23949286,349.5502143,21.54951071,499.9636071,90.76571429,0.09937735,28.71984643,28.04653214,999.9,0,0,9998.968929,0,35.55445357,-14.08800714,360.3548571,371.5073571,8.55908,366.5877143,13.23949286,1.978563571,1.201692143,17.27380357,9.622316071,2000.0125,0.980006464,0.01999335,0,1.948367857,0,11958.66071,17338.37857,41.80557143,42.3165,41.00875,40.7185,40.61585714,1960.0225,39.99,0,1686156887,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-16.40537317,45.34172613,4.592658936,0,8.559296098,0.394084808,0.074686598,0,0,2,0/2,3.13494,2.72797,0.0704153,0.0729683,0.0995001,0.0698736,27531.6,27248.3,30165.6,29664.2,37518,36333.9,46175.4,44105.8,1.80155,1.68815,-0.0100955,0,28.2236,999.9,40.2,43.9,40.3252,63.9565,20.8574,1,0.37888,2.43604,20.2164,5.22957,11.974,4.9706,3.28965,9999,9999,9999,999.9,4.97281,1.87777,1.87592,1.87869,1.8753,1.8788,1.87598,1.87723,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.888,0.2486,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137.1,43137.2,0.906982,2.6062,1.39893,2.33032,1.44897,2.46826,46.1527,14.1933,18,482.889,384.742,24.9646,31.8924,30.0012,31.5102,31.568,18.1419,62.2075,0,24.908,319.783,13.1565,99.7637,101.426,,
104,104,1686156827,4624.5,2023-06-07 12:53:46,12:53:46,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156819,0.00880265,8.802649627,27.2919033,337.6434529,226.5692844,20.58739246,30.68023229,0.460506283,2.956564474,0.424050041,0.268065809,358.0402417,28.53876374,28.05382963,3.806764514,50.06691387,1.980594455,3.955894826,1.826170058,-388.1968486,105.3678998,7.798207994,83.00950088,8.502665582,8.809720674,27.2919033,337.3522609,324.0737212,-3.059718853,64.9700373,8.802649627,13.14726626,21.76682848,-0.001034359,104.4423477,2,0,1,0,47692,2035.142215,1669.427007,0.820299925,0.175928856,5,0.5,0: Broadleaf,2,TRUE,1686156819,337.6434815,349.1216296,21.79692593,13.17852593,334.7357407,21.54789259,499.9591481,90.76621111,0.099558778,28.71488148,28.05382963,999.9,0,0,9994.231852,0,35.14480741,-11.47820407,345.1673704,353.7846296,8.618391481,349.1216296,13.17852593,1.978424444,1.196164815,17.2727,9.553822593,1999.997407,0.980006444,0.01999337,0,1.941718519,0,11885.86667,17338.24815,41.71503704,42.32366667,41.00896296,40.72885185,40.62244444,1960.007407,39.99,0,1686156892,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-13.20339875,30.51831028,2.980406012,0,8.571868,0.688315047,0.079019434,0,0,2,0/2,3.135,2.72777,0.0678267,0.0701336,0.0994566,0.0698531,27607.8,27331.3,30165.2,29663.9,37519.2,36333.9,46174.9,44105.1,1.80168,1.68795,-0.0107996,0,28.2332,999.9,40.2,43.9,40.324,63.8165,20.8854,1,0.380056,2.50933,20.2153,5.22927,11.974,4.97045,3.28965,9999,9999,9999,999.9,4.97283,1.87776,1.87592,1.87873,1.87531,1.8788,1.87595,1.87724,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.844,0.2484,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137.1,43137.2,0.869141,2.61353,1.39893,2.33032,1.44897,2.43042,46.1818,14.1846,18,483.003,384.666,24.9115,31.9021,30.0012,31.5171,31.5742,17.3743,62.2075,0,24.8522,299.747,13.1623,99.7624,101.425,,
105,105,1686156832,4629.5,2023-06-07 12:53:51,12:53:51,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156824,0.00881056,8.810560481,25.93252281,323.8034013,218.1489676,19.82239679,29.42282778,0.460472737,2.955885469,0.424013918,0.268043412,357.9739633,28.53074033,28.05387857,3.806775371,50.03712583,1.978777966,3.954619562,1.827997404,-388.5457172,104.4498645,7.731828319,81.60993888,6.846573974,8.820777858,25.93252281,320.5981017,308.7591939,-3.07241305,64.9700373,8.810560481,13.14045295,21.76085576,-0.000226905,104.4423477,2,0,1,0,47577,2034.765429,1669.117934,0.820299928,0.175928861,5,0.5,0: Broadleaf,2,TRUE,1686156824,323.8034286,333.5060357,21.7768,13.14825714,320.9351786,21.52816786,500.0085,90.76673929,0.099593982,28.70932143,28.05387857,999.9,0,0,9990.577857,0,34.78364286,-9.702691786,331.0120357,337.9496429,8.6285425,333.5060357,13.14825714,1.976608929,1.193424286,17.25819286,9.5197725,1999.981786,0.980006357,0.019993457,0,1.942753571,0,11821.16071,17338.10714,41.76542857,42.33225,40.99967857,40.734,40.63139286,1959.991786,39.99,0,1686156897,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-10.89680525,23.05969452,2.232692558,0,8.613079,0.198157598,0.041249426,0,0,2,0/2,3.13488,2.72767,0.0651832,0.0672282,0.0994396,0.0698242,27685,27416.1,30164,29663.4,37518.8,36334.2,46173.7,44104.3,1.80117,1.68788,-0.0115745,0,28.2436,999.9,40.2,43.9,40.3251,63.7965,20.9215,1,0.38124,2.56857,20.2146,5.22762,11.974,4.9703,3.28948,9999,9999,9999,999.9,4.97284,1.87776,1.87592,1.87867,1.87531,1.8788,1.87597,1.87722,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.801,0.2483,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137.2,43137.3,0.83374,2.62207,1.39893,2.33032,1.44897,2.39014,46.1818,14.1846,18,482.765,384.665,24.8534,31.912,30.0012,31.524,31.5811,16.6798,62.2075,0,24.7986,286.39,13.1615,99.7594,101.423,,
106,106,1686156837,4634.5,2023-06-07 12:53:56,12:53:56,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156829,0.00880954,8.809539933,24.37211983,308.0376782,208.5267466,18.94812856,27.99035433,0.459997625,2.955660864,0.423608289,0.267784322,357.9446109,28.52839371,28.05502963,3.807030721,50.01126711,1.97747723,3.954063442,1.829553491,-388.500711,103.8720776,7.689593492,81.00557097,5.255811051,8.812913968,24.37211983,303.7591026,293.4511636,-3.061734348,64.9700373,8.809539933,13.13558734,21.75492545,-0.000170933,104.4423477,2,0,1,0,47851,2034.598544,1668.981043,0.82029993,0.175928864,5,0.5,0: Broadleaf,2,TRUE,1686156829,308.0377037,316.0083704,21.76240741,13.14112593,305.2150741,21.51406667,499.9908519,90.7670963,0.09956163,28.7068963,28.05502963,999.9,0,0,9989.349259,0,34.62928519,-7.970596296,314.8907037,320.2163704,8.62127963,316.0083704,13.14112593,1.97531037,1.192782222,17.24780741,9.511765185,1999.969259,0.980006222,0.019993593,0,1.9782,0,11752.26296,17337.9963,41.79374074,42.34466667,41.02277778,40.74262963,40.63388889,1959.979259,39.99,0,1686156902,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-8.968545366,19.72878146,1.94780511,0,8.626867073,-0.08207331,0.009927471,1,1,2,1/2,3.13482,2.72797,0.0624914,0.0642695,0.0994288,0.069808,27763.8,27502.1,30163.2,29662.5,37518,36333.5,46172.4,44102.9,1.80105,1.68778,-0.0117905,0,28.2523,999.9,40.2,43.9,40.3242,63.6265,21.0296,1,0.382497,2.60758,20.2137,5.22672,11.974,4.97005,3.28935,9999,9999,9999,999.9,4.97284,1.87777,1.87595,1.87873,1.87531,1.87881,1.876,1.87724,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.756,0.2482,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137.3,43137.4,0.795898,2.62695,1.39893,2.33032,1.44897,2.39624,46.1527,14.1758,18,482.738,384.65,24.7965,31.9225,30.0012,31.5309,31.588,15.9029,62.2075,0,24.7424,266.323,13.159,99.7566,101.42,,
107,107,1686156842,4639.5,2023-06-07 12:54:01,12:54:01,5,albert,lubb_05_npk_soel_02,lubb_5_soel_2_9,1686156834,0.008814396,8.814395526,23.06060276,293.9035116,199.7041399,18.14653602,26.70615974,0.460205317,2.956179871,0.423790359,0.267900187,357.864861,28.52654934,28.054275,3.806863313,50.00149237,1.977072728,3.954027439,1.829790584,-388.7148427,103.985562,7.69660826,80.83218859,3.856132653,8.81333544,23.06060276,286.8297806,278.0175758,-3.097173587,64.9700373,8.814395526,13.131242,21.75397939,1.16E-05,104.4423477,2,0,1,0,47927,2034.145243,1668.609199,0.820299929,0.175928864,5,0.5,0: Broadleaf,2,TRUE,1686156834,293.9035357,300.3500714,21.75785,13.13609643,291.1223929,21.50959286,499.9897143,90.767525,0.09957485,28.70673929,28.054275,999.9,0,0,9992.050357,0,34.17417143,-6.446435,300.4406429,304.3479643,8.621755357,300.3500714,13.13609643,1.974905,1.192331071,17.24456429,9.506132143,1999.971071,0.98000625,0.019993568,0,2.01595,0,11695.63929,17338.00714,41.82567857,42.35925,41.00192857,40.75632143,40.65146429,1959.981071,39.99,0,1686156907,0,0,--:--:--,1683568598,1683568592,0,0.11,-0.011,3.357,0.3,420,24,0.39,0.14,-7.640117561,19.20755749,1.89446467,0,8.622746341,-0.010530941,0.003220397,1,1,2,1/2,3.1348,2.72802,0.0597217,0.0611941,0.0994196,0.0697888,27845.2,27591.6,30162.6,29661.7,37517.6,36333.1,46171.6,44101.7,1.8008,1.68753,-0.0129752,0,28.2611,999.9,40.2,43.9,40.3259,63.5765,21.0978,1,0.383618,2.65529,20.213,5.22837,11.974,4.9697,3.28945,9999,9999,9999,999.9,4.97283,1.87776,1.87593,1.87871,1.87531,1.87881,1.87598,1.87726,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.712,0.2481,1.794305071,0.003859136,-1.74E-06,4.33E-10,-0.031257649,0.00326799,0.000573584,-5.64E-06,4,2134,1,28,43137.4,43137.5,0.760498,2.62817,1.39893,2.33032,1.44897,2.43164,46.1818,14.1846,18,482.641,384.55,24.7403,31.9323,30.0012,31.5379,31.5949,15.2021,62.2075,0,24.6887,252.941,13.1611,99.7549,101.417,,
