"","site","plot","taxon_code","cn_ratio_avg","site_code","treatment","block","average.cover"
"78","sevi",15,"poja",9.39863585396787,"sevi.us","NPK",1,0
"79","sevi",15,"satr",7.76544891023267,"sevi.us","NPK",1,0
"80","sevi",17,"boer",15.2833257522635,"sevi.us","NPK",1,5
"81","sevi",17,"hodr",14.7687720579287,"sevi.us","NPK",1,0
"82","sevi",17,"satr",7.17885236275123,"sevi.us","NPK",1,0
"83","sevi",17,"xasp",15.1271631215741,"sevi.us","NPK",1,1
"84","sevi",22,"boer",18.294396266194,"sevi.us","Control",1,5
"85","sevi",22,"hodr",13.7752411810213,"sevi.us","Control",1,4
"86","sevi",22,"spfl",13.911308019621,"sevi.us","Control",1,2
"87","sevi",25,"soel",9.12067733057048,"sevi.us","NPK",1,1
"88","sevi",35,"boer",18.9595725734639,"sevi.us","Control",1,7
"89","sevi",35,"poja",11.2711333023688,"sevi.us","Control",1,0.5
"90","sevi",35,"satr",9.5465907361506,"sevi.us","Control",1,0
"91","sevi",35,"soel",11.54936035097,"sevi.us","Control",1,1
"92","sevi",39,"boer",7.14567901234568,"sevi.us","NPK",1,1
"93","sevi",39,"poja",9.53284460306743,"sevi.us","NPK",1,0
"94","sevi",39,"satr",7.26497128794094,"sevi.us","NPK",1,18
"95","sevi",39,"soel",9.05846007027226,"sevi.us","NPK",1,1
"96","sevi",40,"poja",12.6563302389887,"sevi.us","Control",1,0
"97","sevi",40,"soel",10.5642387935656,"sevi.us","Control",1,2
"98","temple",1,"amtr",14.4185631132508,"temple.us","Control",1,37.5
"99","temple",1,"cien",32.5354177925667,"temple.us","Control",1,2
"100","temple",1,"coca",16.5311140849783,"temple.us","Control",1,17.5
"101","temple",1,"coer",16.2477611901084,"temple.us","Control",1,0.5
"102","temple",1,"eude",19.5651438240271,"temple.us","Control",1,0
"103","temple",1,"eusp",26.5466152582119,"temple.us","Control",1,1
"104","temple",1,"galiu",NA,"temple.us","Control",1,0.5
"105","temple",1,"gapu",29.174038518575,"temple.us","Control",1,10
"106","temple",1,"moci",25.742880874239,"temple.us","Control",1,2
"107","temple",1,"pape",24.5680029973773,"temple.us","Control",1,2
"108","temple",1,"phmo",18.808277766122,"temple.us","Control",1,2
"109","temple",1,"poacea",21.6812243971708,"temple.us","Control",1,1
"110","temple",1,"rubiac",34.0605134791675,"temple.us","Control",1,32.5
"111","temple",1,"rutr",29.2994423983834,"temple.us","Control",1,12
"112","temple",1,"scsc",37.1719890912958,"temple.us","Control",1,15.5
"113","temple",1,"soha",20.0136307900597,"temple.us","Control",1,0
"114","temple",1,"spco",35.2497731541533,"temple.us","Control",1,0.5
"115","temple",1,"toar",22.0771440608257,"temple.us","Control",1,5.5
"116","temple",1,"trbr",16.4737875153723,"temple.us","Control",1,5
"117","temple",8,"amtr",11.8861455525606,"temple.us","NPK",1,65
"118","temple",8,"coca",19.0687370788729,"temple.us","NPK",1,20
"119","temple",8,"moci",24.9427661794983,"temple.us","NPK",1,10
"120","temple",8,"pape",17.3597137599162,"temple.us","NPK",1,2
"121","temple",8,"scsc",35.4317219215471,"temple.us","NPK",1,0
"122","temple",8,"soha",26.9667242864371,"temple.us","NPK",1,9.5
"123","temple",8,"toar",15.3430387715628,"temple.us","NPK",1,17.5
"124","temple",11,"amtr",17.0666138982773,"temple.us","Control",2,6.5
"125","temple",11,"coca",18.082045034523,"temple.us","Control",2,35
"126","temple",11,"moci",22.8657698515386,"temple.us","Control",2,2
"127","temple",11,"pste",20.9327712806164,"temple.us","Control",2,4
"128","temple",11,"scsc",36.1010011545993,"temple.us","Control",2,50
"129","temple",11,"soha",25.5920111186448,"temple.us","Control",2,0
"130","temple",11,"sonu",42.8926041332139,"temple.us","Control",2,17.5
"131","temple",11,"toar",20.9817864924842,"temple.us","Control",2,5.5
"132","temple",18,"amtr",12.2040009351012,"temple.us","NPK",2,80
"133","temple",18,"coca",18.5268084063397,"temple.us","NPK",2,17.5
"134","temple",18,"gate",35.1487202988465,"temple.us","NPK",2,6.5
"135","temple",18,"miro",10.7047152326334,"temple.us","NPK",2,5
"136","temple",18,"scsc",32.153389391378,"temple.us","NPK",2,0.5
"137","temple",18,"soha",22.9186406468714,"temple.us","NPK",2,4
"138","temple",18,"toar",16.704856857178,"temple.us","NPK",2,27.5
"139","temple",21,"amtr",14.2570963365342,"temple.us","Control",3,15
"140","temple",21,"coca",17.5133140702117,"temple.us","Control",3,11
"141","temple",21,"gapu",20.3131978933243,"temple.us","Control",3,8
"142","temple",21,"miro",11.4299977974072,"temple.us","Control",3,5.5
"143","temple",21,"scsc",30.40576246732,"temple.us","Control",3,40
"144","temple",21,"soha",26.2675789402058,"temple.us","Control",3,4.5
"145","temple",21,"toar",21.7186524384767,"temple.us","Control",3,2
"146","temple",28,"amtr",14.2898575609612,"temple.us","NPK",3,32.5
"147","temple",28,"coca",18.3151825320538,"temple.us","NPK",3,21
"148","temple",28,"scsc",37.780440212658,"temple.us","NPK",3,1
"149","temple",28,"soha",24.364700259179,"temple.us","NPK",3,55
"150","temple",28,"toar",19.964419649177,"temple.us","NPK",3,12
