people,date,site,plot,treatment,plant_code,rep,DS_curve_start_time,licor_curve_start_time,licor_curve_end_time,total_time,id_licor,machine,ID.matches.user.defined.variable.,Performed.auto.match.before.curve.,Did.leaf.fit.entire.cuvette.,leaf.width...cm...if.needed.,entered.width.into.licor.,curve_start_time,envelope_multi,notes_licor,multi_time,time_multi,envelope_multi,envelope_stem,envelope_extra,p_height_cm,ddh_90_mm,ddh_180_mm,notes_all_hard
EG,5/25/2023,temple,11,control,toar,1,14:05,14:04,14:13,0:09,temple_11_toar_1_25,yadi,y,y,n,NA,mia,14:05,25,,14:13,2:13:00 PM,25,26,27,57,2.05,1.88,"___initial licor id ""temple_08_npk_scsc"".. name changes at 14:05:16 from scsc to toar.. can you change the name in the middle of the curve??"
EG,5/26/2023,temple,11,control,amtr,1,8:55,9:55,10:04,0:09,temple_11_amtr_1_7,yadi,y,y,n,NA,NA,8:55,7,,10:57,10:57:00 AM,7,8,9,60,4.21,4.01,___need to update ds soft date
EG,5/26/2023,temple,11,control,scsc,1,9:51,10:39,10:48,0:09,temple_11_scsc_1_13,yadi,y,y,n,1.4,y,9:51,13,time may nt be accurate,10:59,10:59:00 AM,13,14,15,44,3.6,1.11,"time may nt be accurate___time is pretty off, but licor ID seems to match and there is a note about the time not matching SO I belive this is correct. "
EG,5/26/2023,temple,11,control,soha,1,10:14,11:14,11:23,0:09,temple_11_soha_1_1,yadi,y,y,n,1.4,y,10:14,1,,10:55,10:55:00 AM,1,2,3,87,3.97,3.95,___
"MK, GG, EG",5/26/2023,temple,18,npk,amtr,1,11:00,11:59,12:09,0:10,temple_18_amtr_1_15,yadi,y,y,y,NA,NA,11:00,15,,12:13,12:13:00 PM,15,14,15,95,7.52,7.17,"_13 was scratched out and replaced with 15 (potentially useful)_multi spec. says ""TOAR 1""_"
"MK, GG, EG",5/26/2023,temple,18,npk,coca,1,12:46,12:33,12:43,0:10,temple_18_coca_1_19,yadi,y,y,n,NA,NA,12:46,19,SLA needed; curve may be at ~11:31,13:15,1:15:00 PM,19,20,21,48,1.37,1.36,SLA needed; curve may be at ~11:31__measured on 5/26_
"MK, GG, EG",5/26/2023,temple,18,npk,toar,1,13:12,14:12,14:21,0:09,temple_18_toar_1_25,yadi,y,y,n,NA,NA,13:12,25,SLA needed,14:00,2:00:00 PM,25,26,27,52,5.17,5.1,SLA needed__measured on 5/26_
"MK, GG, EG",5/26/2023,temple,21,control,coca,1,15:38,16:38,16:48,0:10,temple_21_coca_1_19,yadi,y,y,n,mia,n,15:38,19,SLA needed,16:02,4:02:00 PM,19,20,21,30,0.69,0.72,SLA needed___
"MK, GG, EG",5/26/2023,temple,21,control,scsc,1,16:17,17:14,17:23,0:09,temple_21_scsc_1_7,yadi,y,y,n,2.1,y,16:17,7,,16:30,4:30:00 PM,7,8,9,32,0.77,3.58,___
"MK, GG, EG",5/27/2023,temple,21,control,amtr,1,8:56,8:56,9:05,0:09,temple_21_amtr_1_13,yadi,y,y,y,NA,NA,8:56,13,,9:17,9:17:00 AM,13,14,15,71,5.88,5.86,"__Measured on 05/27/2023 MK/EG_licor file just said ""yadi"""
"MK, GG, EG",5/27/2023,temple,21,control,soha,1,9:36,9:37,9:46,0:09,temple_21_soha_1_1,yadi,y,y,n,1.4,y,9:36,1,,10:02,10:02:00 AM,1,2,3,100,2.78,2.87,__Measured on 05/27/2023 MK/EG_
"MK, GG, EG",5/27/2023,temple,21,control,toar,1,10:08,10:09,10:18,0:09,temple_21_toar_1_25,yadi,y,y,n,mia,n,10:08,25,SLA needed,10:39,10:39:00 AM,25,26,27,68,2.72,2.64,SLA needed__Measured on 05/27/2023 MK/EG_
"MK, GG, EG",5/27/2023,temple,28,npk,soha,1,11:33,11:33,11:43,0:10,temple_28_soha_1_1,yadi,y,y,n,1.7,y,11:33,1,SLA needed,11:59,11:59:00 AM,1,2,3,100,4.5,4.55,"SLA needed_muli_library said ""003"" probably an error replaced with 001_Measured on 05/27/2023 MK/EG_"
"MK, GG, EG",5/27/2023,temple,28,npk,scsc,1,12:09,12:10,12:19,0:09,temple_28_scsc_1_7,yadi,y,y,n,1.3,y,12:09,7,SLA needed,12:29,12:29:00 PM,7,8,9,52,0.48,2.99,SLA needed__Measured on 05/27/2023 MK/EG_
"MK, GG, EG",5/27/2023,temple,28,npk,toar,1,12:37,12:31,12:41,0:10,temple_28_toar_1_25,yadi,y,y,n,mia,n,12:37,25,SLA needed,12:56,12:56:00 PM,25,26,27,37,0.99,1,SLA needed__Measured on 05/27/2023 MK/EG_
"MK, GG, EG",5/27/2023,temple,28,npk,coca,1,13:00,13:00,13:10,0:10,temple_28_coca_1_19,yadi,y,y,n,NA,NA,13:00,19,SLA needed,13:28,1:28:00 PM,19,20,21,29,0.77,0.72,SLA needed__Measured on 05/27/2023 MK/EG_
"MK, GG, EG",5/27/2023,temple,28,npk,amtr,1,13:42,13:40,13:49,0:09,temple_28_amtr_1_13,yadi,y,y,y,NA,NA,13:42,13,,13:59,1:59:00 PM,13,14,15,92,7.07,6.58,__Measured on 05/27/2023 MK/EG_
"MK, EG, EP, NS, GG",6/6/2023,lubb,8,control,satr,2,10:25,10:25,10:35,0:10,lubb_8_satr_2_18,gibson,y,y,n,0.3,y,10:25,18,,10:48,10:48:00 AM,18,19,20,17,1.58,1.31,"__hard_only good curve in ""gib_06.06"", other curves on this date/ machine were attempted prgl2, also need to update softdatasheet date!"
"MK, EG, EP, NS, GG",6/6/2023,lubb,8,control,chin2,2,10:46,10:47,10:56,0:09,lubb_8_chin2_2_15,yadi,y,y,y,NA,NA,10:46,15,,11:08,11:08:00 AM,15,16,17,40,2.72,3.05,__hard_
NA,6/6/2023,lubb,8,control,prgl2,2,11:15,0:00,0:09,0:09,lubb_8_prgl2_2_0,gibson,y,y,n,NA,NA,11:15,0,SLA needed,NA,NA,0,NA,NA,NA,NA,NA,"SLA needed_aborted, curve? not in the soft datasheet_NA_this one might be a failure? I see lots of start/ stops for this date, plot, and rep number in the licor file for this date. "
"MK, EG, EP, NS, GG",6/6/2023,lubb,5,npk,satr,2,11:49,11:50,11:59,0:09,lubb_5_satr_2_3,yadi,y,y,n,0.45,y,11:49,3,,12:09,12:09:00 PM,3,4,5,46,3.89,4.14,_not sent off to UC Davis?_hard; ERROR dried for 24hrs at 103 celcius and then rehydrated_
"MK, EG, EP, NS, GG",6/6/2023,lubb,5,npk,chin2,2,12:23,12:19,12:28,0:09,lubb_5_chin2_2_0,gibson,y,y,n,NA,NA,12:23,0,new file,12:35,12:35:00 PM,0,1,2,95,11.02,10.28,"new file__hard; ERROR dried for 24hrs at 103 celcius and then rehydrated; multispec reads ""SOEL"" for species _"
"MK, EG, EP, NS, GG",6/6/2023,lubb,5,npk,bogr2,2,12:30,12:29,12:39,0:10,lubb_5_bogr2_2_12,yadi,y,y,n,0.65,y,12:30,12,MK 2023/06/15,12:41,12:41:00 PM,12,13,14,36,0.97,1.01,"MK 2023/06/15_old envelope_multi was ""132"", changed to match the plot and date on the datasheet. _hard; ERROR dried for 24hrs at 103 celcius and then rehydrated_"
"MK, EG, EP, NS, GG",6/6/2023,lubb,27,npk,satr,2,12:58,12:58,13:08,0:10,lubb_27_satr_2_33,gibson,y,y,n,0.3,y,12:58,33,,13:23,1:23:00 PM,33,34,35,40,4.37,3.92,__hard; plant height is on estimate_
"MK, EG, EP, NS, GG",6/6/2023,lubb,27,npk,chin2,2,13:18,13:19,13:28,0:09,lubb_27_chin2_2_30,yadi,y,y,y,NA,NA,13:18,30,,13:31,1:31:00 PM,30,31,32,47,2.83,2.86,__hard_
"MK, EG, EP, NS, GG",6/6/2023,lubb,27,npk,prgl2,2,13:23,13:23,13:33,0:10,lubb_27_prgl2_2_36,gibson,y,y,n,mia,mia,13:23,36,SLA needed,13:53,1:53:00 PM,36,37,38,14,0.54,0.57,SLA needed__hard; need SLA; leaf disconnected after lecor measurement_
"MK, KC  ??????",6/6/2023,lubb,28,control,satr,2,13:58,13:59,14:08,0:09,lubb_28_satr_2_48,gibson,y,y,n,0.4,y,13:58,48,,14:40,2:40:00 PM,48,49,50,28,2.47,2.42,"__hard_incorrect soft datasheet date, update when you can!"
"MK, KC  ??????",6/6/2023,lubb,28,control,soel,2,14:01,14:01,14:11,0:10,lubb_28_soel_2_54,yadi,y,y,n,NA,NA,14:01,54,SLA needed,14:17,2:17:00 PM,54,55,56,43,4.64,3.78,"SLA needed__hard; multi says ""27 ctrl SOEL""_"
"MK, KC  ??????",6/6/2023,lubb,28,control,chin2,2,14:04,14:45,14:54,0:09,lubb_28_chin2_2_45,yadi,y,y,y,NA,NA,14:04,45,,14:59,2:59:00 PM,45,46,47,58,5.57,5.21,__hard_
NA,6/6/2023,lubb,28,control,bogr2,2,14:51,14:51,15:01,0:10,lubb_28_bogr2_2_0,gibson,y,n,n,0.4,y,14:51,0,,NA,NA,0,NA,NA,NA,NA,NA,"_not sure where this one is?? Looks like I might be missing the envlope?  Or this is just an extra one? Look at licor file later to see what is happening._NA_missing soft dates, update soft datasheet when you can!!"
"MK, EG, EP, NS, GG",6/7/2023,lubb,8,control,bogr2,2,10:30,11:36,11:45,0:09,lubb_8_bogr2_2_27,albert,y,y,n,0.5,y,10:30,27,,11:00,11:00:00 AM,27,28,29,8,0.57,0.5,__hard; ERROR dried for 24hrs at 103 celcius and then rehydrated_
"MK, EG, EP, NS, GG",6/7/2023,lubb,5,npk,soel,2,12:55,12:53,13:02,0:09,lubb_5_soel_2_9,albert,y,y,n,2,y,12:55,9,SLA needed,12:17,12:17:00 PM,9,10,11,39,4.28,4.02,SLA needed__hard; ERROR dried for 24hrs at 103 celcius and then rehydrated_
"MK, EG, EP, NS, GG",6/7/2023,lubb,27,npk,soel,2,13:55,13:49,13:58,0:09,lubb_27_soel_2_39,albert,y,y,n,NA,NA,13:55,39,SLA needed,13:06,1:06:00 PM,39,40,41,25,2.35,2.71,SLA needed__hard_
"MK, EG, EP, NS, GG",6/7/2023,lubb,27,npk,bogr2,2,15:05,15:04,15:13,0:09,lubb_27_bogr2_2_42,albert,y,y,n,0.6,y,15:05,42,,14:29,2:29:00 PM,42,43,44,28,0.77,0.96,"__""27"" mult; hard_has 2 curves, first curve attempt 14:29 - 14:38, labeled as ""lubb_27_bogr2_2_42_bad"" and the one with the ""good curve"" labeled as ""lubb_27_bogr2_2_42_good"""
"MK, KC  ??????",6/7/2023,lubb,28,control,bogr2,2,15:58,15:55,16:04,0:09,lubb_28_bogr2_2_57,albert,y,n,n,mia,mia,15:58,57,need to measure leaf area,15:23,3:23:00 PM,57,58,59,15,1.06,0.98,"need to measure leaf area_15:23 multi-time, date 06/05 on the soft datasheet_hard; ERROR dried for 24hrs at 103 celcius and then rehydrated_id says ""lubb_28_control_prgl_02"", user may have forgotten to update ID with new code?"
"MK, EG, GG",6/7/2023,lubb,29,npk,chin2,2,10:42,10:43,10:53,0:10,lubb_29_chin2_2_60,gibson,y,y,y,NA,NA,10:42,60,,10:50,10:50:00 AM,60,61,62,71,6.43,5.91,__hard_
"MK, EG, GG",6/7/2023,lubb,29,npk,satr,2,10:52,10:52,11:02,0:10,lubb_29_satr_2_63,stan,y,y,n,0.3,Y,10:52,63,,11:13,11:13:00 AM,63,64,65,48,5.41,5.3,__hard_
"MK, EG, GG",6/7/2023,lubb,29,npk,bogr2,2,11:31,11:31,11:41,0:10,lubb_29_bogr2_2_66,gibson,y,y,n,0.6,Y,11:31,66,,11:45,11:45:00 AM,66,67,68,17,0.57,1.47,__hard_
"MK, EG, GG",6/7/2023,lubb,29,npk,soel,2,11:50,11:50,12:00,0:10,lubb_29_soel_2_69,stan,y,y,n,mia,n,11:50,69,,12:04,12:04:00 PM,69,70,71,39,4.12,5.1,__hard_
"MK, EG, GG",6/7/2023,lubb,37,control,chin2,2,12:25,12:25,12:34,0:09,lubb_37_chin2_2_75,gibson,y,y,y,NA,NA,12:25,75,,12:43,12:43:00 PM,75,76,77,33,4.21,4.41,__hard_
"MK, EG, GG",6/7/2023,lubb,37,control,soel,2,12:44,12:44,12:53,0:09,lubb_37_soel_2_84,stan,y,y,n,mia,n,12:44,84,SLA needed,13:17,1:17:00 PM,84,85,86,22,2.85,4.01,SLA needed__hard_
"MK, EG, GG",6/7/2023,lubb,37,control,satr,2,13:08,13:08,13:18,0:10,lubb_37_satr_2_78,gibson,y,y,n,0.3,y,13:08,78,,13:27,1:27:00 PM,78,79,80,15,1.7,1.97,__hard_
"MK, EG, GG",6/7/2023,lubb,37,control,prgl2,2,13:34,13:34,13:44,0:10,lubb_37_prgl2_2_87,stan,y,y,n,mia,n,13:34,87,SLA needed,13:55,1:55:00 PM,87,88,89,142,mia,mia,SLA needed__hard; large tree flagged for later ddh measurments/stem collection_
"MK, EG, GG",6/7/2023,lubb,37,control,bogr2,2,14:12,14:12,14:22,0:10,lubb_37_bogr2_2_81,yadi,y,y,n,0.6,Y,14:12,81,,14:26,2:26:00 PM,81,82,83,9,0.73,0.91,"__hard; measured at 1.5cm; short stem_bad curve start at 13:52 to - 13:54. lubb_37_bogr2_2_81_bad, and lubb_37_bogr2_2_81_good curves labeled"
"MK, EG, EP, NS, GG",6/7/2023,lubb,8,control,soel,2,14:20,14:20,14:30,0:10,lubb_8_soel_2_149,gibson,y,y,n,mia,n,14:20,149,SLA needed,14:55,2:55:00 PM,149,148,147,41,4.63,43.92,SLA needed__hard_update hard datasheet with gibson for machine
"MK, EG, EP, NS, GG",6/7/2023,lubb,8,control,prgl2,2,14:26,14:27,14:36,0:09,lubb_8_prgl2_2_146,stan,y,y,n,mia,n,14:26,146,SLA needed; put leaves at 0.6,15:04,3:04:00 PM,146,145,144,200,mia,mia,"SLA needed; put leaves at 0.6__hard; very large tree need to determine ddh_original licor ID said ""lubb_37_prgl2_02"", but that matches the id above it, likely just forgot to update the id. "
"MK, EG, GG",6/7/2023,lubb,37,control,prgl2,3,15:14,15:14,15:24,0:10,lubb_37_prgl2_3_141,yadi,y,y,n,mia,n,15:14,141,SLA needed; machine overheated temp ~ 32deg vs 28deg,15:30,3:30:00 PM,141,143,142,260,mia,mia,"SLA needed; machine overheated temp ~ 32deg vs 28deg__hard; large tree flagged for later ddh measurments/stem collection; multispec named it ""lubb 08 ctrl""_"
"MK, EG",6/7/2023,lubb,27,npk,prgl2,3,15:20,15:16,15:26,0:10,lubb_27_prgl2_3_150,gibson,y,y,n,mia,n,15:20,150,SLA needed,15:42,3:42:00 PM,150,143,152,135,mia,mia,SLA needed__hard_
"MK, EG",6/7/2023,lubb,27,npk,prgl2,4,15:28,15:37,15:46,0:09,lubb_27_prgl2_4_151,stan,y,y,n,mia,n,15:28,151,SLA needed,15:55,3:55:00 PM,151,mia,153,141,mia,mia,SLA needed__hard_
MK,6/16/2023,lubb,27,npk,prgl2,5,8:20,8:35,8:47,0:12,lubb_27_prgl2_5_172,gibson,n,y,n,0.6,y,8:20,172,,8:59,8:59:00 AM,172,173,174,22,2.72,2.8,"_""envelope 173"" listed on the hard datasheet... error there I think. _Hard NPK plot 27_"
MK,6/16/2023,lubb,27,npk,prgl2,6,9:11,9:11,9:21,0:10,lubb_27_prgl2_6_175,gibson,y,y,n,0.6,y,9:11,175,,9:46,9:46:00 AM,175,176,177,74,7.46,8.27,__Hard NPK plot 27_
MK,6/16/2023,lubb,8,control,prgl2,7,10:14,10:14,10:24,0:10,lubb_8_prgl2_7_178,gibson,y,y,n,0.6,y,10:14,178,"""s"" curve photo @ 10:22; envelope # 178",10:32,10:32:00 AM,178,179,180,40,4.87,6.38,"""s"" curve photo @ 10:22; envelope # 178__Hard ctl plot 08; collected ~2m south of plot due to limited number of individuals_"
MK,6/16/2023,lubb,8,control,prgl2,8,10:51,10:51,11:01,0:10,lubb_8_prgl2_8_181,gibson,y,y,n,0.6,y,10:51,181,"""s"" curve photo @ 10:58; envelope # 181",11:11,11:11:00 AM,181,182,183,90,10.24,11.3,"""s"" curve photo @ 10:58; envelope # 181__Hard ctl plot 08; collected ~2m south of plot due to limited number of individuals_"
MK,6/16/2023,lubb,8,control,prgl2,9,11:42,11:42,11:52,0:10,lubb_8_prgl2_9_184,gibson,y,y,n,0.6,y,11:42,184,"back up for rep 7; ""H2O range match suspended""",11:58,11:58:00 AM,184,185,186,12,2.14,2.35,"back up for rep 7; ""H2O range match suspended""__Soft ctl plot 08; colelcted ~2m south of plot due to limited number of individuals; measured for hard as a backup for rep 7; multi performed on other leaf human error = pulled licor leaf_"
MK,6/23/2023,arch,8,npk,qumi,1,9:57,9:58,10:07,0:09,arch_8_qumi_1_226,albert,y,y,n,mia,n,9:57,226,SLA needed; weird leaf shape; envelope # 225; says plot 01 instead of 08 (licor),10:30,10:30:00 AM,226,225,227,60,4.76,4.93,"SLA needed; weird leaf shape; envelope # 225; says plot 01 instead of 08 (licor)___licor file says ""plot 1"" which is wrong! new ID updated appropriartely"
MK,6/23/2023,arch,8,npk,scrh,1,9:57,9:56,10:06,0:10,arch_8_scrh_1_217,yadi,y,y,n,1.6,y,9:57,217,weird leaf shape; envelope # 217; says plot 01 instead of 08 (licor),10:26,10:26:00 AM,217,228,230,76,1.34,10.22,weird leaf shape; envelope # 217; says plot 01 instead of 08 (licor)___
MK,6/23/2023,arch,8,npk,dicha,1,10:58,10:59,11:08,0:09,arch_8_dicha_1_232,yadi,y,y,n,0.6,y,10:58,232,werid leaf shape; licor plays plot 1 instead of plot 8,11:40,11:40:00 AM,232,231,218,28,0.7,0.63,werid leaf shape; licor plays plot 1 instead of plot 8__ddh measured at 8cm; node at 10cm_extra point at 11:17
MK,6/23/2023,arch,8,npk,pase,1,11:00,11:00,11:09,0:09,arch_8_pase_1_229,albert,y,y,n,1.2,y,11:00,229,envelope # 229; licor says DICHA_01 should be,11:47,11:47:00 AM,229,216,215,27,1.34,7.57,"envelope # 229; licor says DICHA_01 should be__ddh measured at 5cm; short stem syndrome_licor file id says ""arch_01_qumi_01_pano_01"", incorrect on many levles updated to correct file format. "
MK,6/23/2023,arch,1,control,qumi,1,12:33,12:33,12:43,0:10,arch_1_qumi_1_199,yadi,y,y,n,mia,n,12:33,199,SLA needed,14:51,2:51:00 PM,199,194,189,24,1.67,1.71,SLA needed___
MK,6/23/2023,arch,1,control,scrh,1,12:44,12:45,12:54,0:09,arch_1_scrh_1_190,albert,y,y,n,1.5,y,12:44,190,,15:07,3:07:00 PM,190,191,198,63,146,13.53,___good
MK,6/23/2023,arch,1,control,dicha,1,13:27,13:27,13:37,0:10,arch_1_dicha_1_193,yadi,y,y,n,0.9,y,13:27,193,,14:42,2:42:00 PM,193,188,192,16,0.8,1.01,__ddh measured at 8cm; small stem_
MK,6/23/2023,arch,1,control,pase,1,14:01,14:02,14:11,0:09,arch_1_pase_1_196,yadi,y,y,n,0.7,y,14:01,196,,14:58,2:58:00 PM,196,200,201,12,0.81,1.52,__ddh measured at 0.5cm; very small stem_
MK,6/23/2023,arch,11,control,qumi,1,14:07,14:07,14:16,0:09,arch_11_qumi_1_202,albert,y,y,n,mia,n,14:07,202,SLA needed,15:19,3:19:00 PM,202,207,233,35,4.41,4.29,SLA needed___good
MK,6/24/2023,arch,11,control,scrh,1,9:52,9:52,10:02,0:10,arch_11_scrh_1_211,yadi,y,y,n,1.1,y,9:52,211,,14:44,2:44:00 PM,211,236,234,53,1.49,9.16,___
MK,6/24/2023,arch,11,control,hyed,1,10:26,10:26,10:36,0:10,arch_11_hyed_1_208,yadi,y,y,n,mia,n,10:26,208,SLA needed,14:47,2:47:00 PM,208,235,209,86,5.54,5.74,SLA needed___
MK,6/24/2023,arch,11,control,pase,1,11:04,11:04,11:14,0:10,arch_11_pase_1_237,albert,y,y,n,1.2,y,11:04,237,curve taken at 10:18; bad,15:06,3:06:00 PM,237,210,206,23,3.29,3.45,"curve taken at 10:18; bad___bad curve 10:17 to 10:22, given ID ""arch_11_pase_1_237_bad"", good cuve ""arch_11_pase_1_237_good"""
MK,6/24/2023,arch,11,control,dicha,1,11:15,11:15,11:25,0:10,arch_11_dicha_1_205,yadi,y,y,n,0.6,y,11:15,205,,14:57,2:57:00 PM,205,204,203,25,0.5,0.53,___
MK,6/24/2023,arch,18,npk,pase,1,11:44,11:44,11:54,0:10,arch_18_pase_1_247,albert,y,y,n,0.9,y,11:44,247,,15:18,3:18:00 PM,247,248,249,15,1.27,6.67,__ddh measured at 2cm; small stem_good
MK,6/24/2023,arch,18,npk,dicha,1,12:37,12:37,12:47,0:10,arch_18_dicha_1_252,yadi,y,y,n,0.8,y,12:37,252,SLA = okay! big leaf,15:38,3:38:00 PM,252,251,250,45,0.75,0.73,SLA = okay! big leaf__ddh extra 0.72mm 0.77mm_
MK,6/24/2023,arch,18,npk,qumi,1,12:39,12:39,12:49,0:10,arch_18_qumi_1_244,albert,y,y,n,mia,n,12:39,244,SLA needed,15:17,3:17:00 PM,244,245,246,17,2.06,2.13,SLA needed__ddh measured at 6cm; small stem_good
MK,6/24/2023,arch,18,npk,hyed,1,13:15,13:15,13:25,0:10,arch_18_hyed_1_241,albert,y,y,n,0.6,y,13:15,241,SLA needed,15:22,3:22:00 PM,241,242,243,100,7.42,7.56,SLA needed___good
MK,6/24/2023,arch,18,npk,scrh,1,13:38,13:38,13:47,0:09,arch_18_scrh_1_238,yadi,y,y,n,1.8,y,13:38,238,,15:37,3:37:00 PM,238,239,240,73,1.41,5.93,___
MK,6/26/2023,arch,21,control,hyed,1,8:47,8:47,8:56,0:09,arch_21_hyed_1_259,yadi,y,y,n,0.6,y,8:47,259,SLA needed,9:44,9:44:00 AM,259,260,261,111,5.27,4.76,SLA needed___
MK,6/26/2023,arch,21,control,dicha,1,10:34,10:34,10:43,0:09,arch_21_dicha_1_265,yadi,y,y,n,0.6,y,10:34,265,,16:23,4:23:00 PM,265,266,267,21,1.74,1.52,__might need another hard measure; might be DITT species?_
MK,6/26/2023,arch,21,control,scrh,1,10:20,10:20,10:30,0:10,arch_21_scrh_1_253,albert,y,y,n,1.3,y,10:20,253,random_20; 0 points photo,16:13,4:13:00 PM,253,254,255,73,1.48,11.3,random_20; 0 points photo___
MK,6/26/2023,arch,28,npk,hyed,1,11:00,11:22,11:31,0:09,arch_28_hyed_1_274,yadi,y,y,n,0.6,y,11:00,274,used yadi not sure of time; posibly 11???; one leaf,16:59,4:59:00 PM,274,275,276,84,6.9,6.71,used yadi not sure of time; posibly 11???; one leaf__Not totally sure if the leaf taken is the LICOR leaf; rehydrated_
MK,6/26/2023,arch,28,npk,hyed,3,11:50,11:49,11:58,0:09,arch_28_hyed_3_295,yadi,y,y,n,0.6,y,11:50,295,SLA needed; one leaf,16:39,4:39:00 PM,295,296,297,101,6.77,7.2,SLA needed; one leaf__hard measurements taken as backup_
MK,6/26/2023,arch,28,npk,scrh,1,11:20,11:33,11:43,0:10,arch_28_scrh_1_268,albert,y,y,n,1.3,y,11:20,268,missed time probably on 11:20,17:01,5:01:00 PM,268,269,270,85,1.68,6.45,missed time probably on 11:20___
MK,6/26/2023,arch,28,npk,pase,1,12:30,12:32,12:42,0:10,arch_28_pase_1_277,yadi,y,y,n,1.3,y,12:30,277,misssed time,16:41,4:41:00 PM,277,278,279,40,2.44,3.41,misssed time___
MK,6/26/2023,arch,28,npk,dicha,1,12:04,12:04,12:13,0:09,arch_28_dicha_1_280,albert,mia,mia,n,1,y,12:04,280,SLA needed ??,16:57,4:57:00 PM,280,281,282,23,0.8,0.76,SLA needed ??___
MK,6/26/2023,arch,21,control,scrh,3,13:16,13:16,13:25,0:09,arch_21_scrh_3_289,yadi,y,y,n,1.2,y,13:16,289,backup for rep 1,16:06,4:06:00 PM,289,290,291,56,1.29,10.92,backup for rep 1__hard_
MK,6/26/2023,arch,28,npk,qumi,1,12:51,12:51,13:01,0:10,arch_28_qumi_1_271,albert,y,y,n,mia,n,12:51,271,SLA needed; young,17:00,5:00:00 PM,271,272,273,19,1.72,1.75,SLA needed; young___
MK,6/26/2023,arch,1,control,hyed,1,13:41,13:41,13:51,0:10,arch_1_hyed_1_283,albert,y,y,n,0.6,y,13:41,283,SLA needed,17:28,5:28:00 PM,283,284,285,75,4.93,4.89,SLA needed___
MK,6/26/2023,arch,21,control,pase,1,13:58,13:59,14:08,0:09,arch_21_pase_1_262,yadi,y,y,n,1,y,13:58,262,,16:01,4:01:00 PM,262,263,264,13,0.87,4.77,___
MK,6/26/2023,arch,8,npk,hyed,1,14:25,14:25,14:34,0:09,arch_8_hyed_1_286,albert,y,y,n,0.6,y,14:25,286,SLA needed,17:25,5:25:00 PM,286,287,288,88,6.3,6.46,SLA needed___
