date,people,site,plot,trt,taxon,rep,mutli_time,envelope_multi,height,ddh_90,ddh_180,envelope_stem,envelope_extra,notes
06/26/2023,MK,arch,28,npk,QUMI,01,17:00,271,19,1.72,1.75,272,273,
06/26/2023,MK,arch,28,npk,HYED,01,16:59,274,84,6.9,6.71,275,276,Not totally sure if the leaf taken is the LICOR leaf; rehydrated
06/26/2023,MK,arch,28,npk,PANO,01,16:41,277,40,2.44,3.41,278,279,
06/26/2023,MK,arch,28,npk,DICHA,01,16:57,280,23,0.8,0.76,281,282,
06/26/2023,MK,arch,01,ctl,HYED,01,17:28,283,75,4.93,4.89,284,285,
06/26/2023,MK,arch,08,npk,HYED,01,17:25,286,88,6.3,6.46,287,288,
06/26/2023,MK,arch,21,ctl,SCRH,03,16:06,289,56,1.29,10.92,290,291,hard
06/27/2023,MK,arch,01,ctl,QUMI,02,9:31,292,28,1.99,2.18,293,294,
06/26/2023,MK,arch,28,npk,HYED,03,16:39,295,101,6.77,7.2,296,297,hard measurements taken as backup 
06/27/2023,MK,arch,01,ctl,PANO,02,10:32,298,15,NA,NA,299,300,no stem collected cause stem is underground ????; only leaves 
06/27/0202,MK,arch,01,ctl,DICHA,02,9:33,301,20,0.41,0.37,302,303,measured ddh at 8cm; anomally (node) at 10cm
06/27/2023,MK,arch,01,ctl,PTPY,02,10:12,304,47,1.51,1.28,305,306,"measured ddh at 19cm cause Monika ripped off part of the stem; measurement does NOT include ""wings"" on stem"
06/27/2023,MK,arch,01,ctl,PTPY,01,10:09,307,40,1.58,1.52,308,309,"blackroot; measurement does NOT include ""wings"" on stem"
06/27/2023,MK,arch,01,ctl,SCRH,02,9:28,310,52,1.32,11.53,311,312,measured ddh at 8cm for stem uniformity 
06/27/2023,MK,arch,01,ctl,HYED,02,9:26,313,72,4.35,4.45,314,315,
06/27/2023,MK,arch,08,npk,SCRH,02,8:07,318,59,1.12,10.86,317,316,ddh measured at 8cm; short stem syndrome
06/27/2023,MK,arch,08,npk,QUMI,02,8:18,321,26,4,3.93,320,319,
06/27/2023,MK,arch,08,npk,HYED,02,8:40,324,88,5.59,5.51,323,322,
06/27/2023,MK,arch,08,npk,PANO,02,8:22,325,31,1.91,2.99,326,327,
06/27/2023,MK,arch,08,npk,DICHA,02,8:20,328,26,0.62,0.65,329,330,
06/27/2023,MK,arch,08,npk,ARSE,01,8:54,331,37,3.81,4.03,332,333,orange
06/27/2023,MK,arch,08,npk,ARSE,02,8:53,334,37,4.67,4.57,335,337,
06/28/2023,MK,arch,11,ctl,SCRH,02,7:47,344,41,1.81,10.91,345,346,
06/28/2023,MK,arch,11,ctl,QUMI,02,8:01,347,24,2.67,2.73,348,349,
06/28/2023,MK,arch,11,ctl,HYED,02,8:00,350,95,10.54,10.24,351,352,
06/28/2023,MK,arch,11,ctl,PANO,02,8:33,353,10,2.54,3.07,354,355,ddh measured at 1.3cm; short stem syndrome
06/28/2023,MK,arch,11,ctl,DICHA,02,8:06,356,25,0.49,0.79,357,358,
06/24/2023,MK,arch,11,ctl,ARSE,01,8:02,359,54,4.38,4.23,360,361,orange
06/28/2023,MK,arch,11,ctl,ARSE,02,8:43,362,38,2.42,2.52,363,364,multispec height = wrong 
06/24/2023,MK,arch,11,ctl,CARPH,01,mia,365,mia,mia,mia,366,367,vanilla; individual in 1x1 eaten by animal; only one in plot snipped. no info collected! mk 20230824
06/30/2023,MK,arch,11,ctl,SCRH,04,10:31,365,59,3.06,11.59,366,367,
06/28/2023,MK,arch,11,ctl,CARPH,02,mia,368,mia,mia,mia,369,371,individual in 1x1 eaten by animal; only one in plot snipped. no info collected! mk 20230824
06/30/2023,MK,arch,11,ctl,QUMI,04,10:17,368,17,1.76,1.71,369,371,"multispec says ""SCRH"""
06/28/2023,MK,arch,18,ctl,SCRH,02,9:08,371,42,1.24,7.25,372,373,"multispec reads plot ""28""; ddh measured at 6cm"
06/28/2023,MK,arch,18,ctl,QUMI,02,9:09,374,28,4.07,3.92,375,376,"multispec reads plot ""28""; ddh measured at 7cm; anomaly at 10cm"
06/28/2023,MK,arch,18,ctl,HYED,02,9:10,377,116,12.19,11.18,378,379,"multispec reads plot ""28"""
06/28/2023,MK,arch,18,ctl,PANO,02,10:24,380,18,1.09,5.03,381,382,ddh measured at 3cm; small stem
06/28/2023,MK,arch,18,ctl,DICHA,02,9:06,383,12,0.65,0.63,384,385,"multispec reads plot ""28""; ddh measured at 6cm"
06/24/2023,MK,arch,18,ctl,LYLU,01,9:43,386,36,3.63,3.61,387,388,"alt, egg.; overall height ~83, shrub sampled smaller individuals to prevent potential shielding entire composition"
06/28/2023,MK,arch,18,ctl,LYLU,02,9:49,389,44,3.75,3.9,390,391,"overall height ~83, shrub sampled smaller individuals to prevent potential shielding entire composition"
06/24/2023,MK,arch,18,ctl,PTPY,01,9:51,392,36,4.41,4.47,393,394,blackroot
06/28/2023,MK,arch,18,ctl,PTPY,02,9:52,395,62,5.03,5.46,396,397,
06/24/2023,MK,arch,18,ctl,ASRE,01,9:53,398,34,3.88,3.79,399,400,orange
06/24/2023,MK,arch,18,ctl,ASRE,02,9:54,401,32,2.8,2.76,402,403,"orange; multispec says ""PTPU"""
06/30/2023,MK,arch,18,npk,SCRH,04,14:34,404,36,2.84,10.75,405,406,
06/28/2023,MK,arch,21,ctl,QUMI,02,11:50,407,34,5,4.84,408,409,ddh meaured at 7cm
06/28/2023,MK,arch,21,ctl,HYED,02,11:50,410,89,5.29,4.83,411,412,
06/28/2023,MK,arch,21,ctl,PANO,02,11:18,413,18,2.11,3.52,414,415,ddh measured at 1.5cm; short stem syndrome
06/28/2023,MK,arch,21,ctl,DICHA,02,11:54,416,22,0.72,0.58,417,418,
06/28/2023,MK,arch,21,ctl,CARPH,01,11:11,419,57,5.88,5.94,420,421,vanilla
06/28/2023,MK,arch,21,ctl,CARPH,02,11:47,422,18,4.32,4.27,423,424,ddh measured at 2cm; 6.49 x 6.20
06/28/2023,MK,arch,21,ctl,SCRH_hairy,01,11:16,425,44,1.46,5.93,426,427,"ddh measured at 8cm; poaceae; use the multispec that says ""use me"""
06/28/2023,MK,arch,21,ctl,SCRH_hairy,02,11:17,428,54,1.61,6.24,429,430,ddh measured at 8cm
06/28/2023,MK,arch,28,npk,SCRH,02,12:37,431,66,1.31,5.32,432,433,
06/28/2023,MK,arch,18,ctl,QUMI,03,13:54,434,19,1.91,1.98,435,436,makeup for plot 28
06/30/2023,MK,arch,11,ctl,HYED,04,11:40,437,86,6.69,6.04,438,439,
06/28/2023,MK,arch,28,npk,PANO,02,12:36,440,25,2.55,3.8,441,442,
06/28/2023,MK,arch,28,npk,DICHA,02,12:52,443,21,0.79,0.74,444,445,
06/28/2023,MK,arch,28,npk,SCRH_hairy,01,13:08,446,51,1.76,7.3,447,448,
06/28/2023,MK,arch,28,npk,SCRH_hairy,02,13:07,449,67,1.79,7.25,450,451,
06/28/2023,MK,arch,28,npk,"""SpiderPoint""",01,12:49,452,33,2.52,2.65,453,454,
06/28/2023,MK,arch,28,npk,"""SpiderPoint""",02,12:51,455,40,2.95,3.07,456,457,
06/30/2023,MK,arch,18,npk,DICHA,04,14:49,458,14,0.61,0.62,459,341,leaf ripped; G 14:51
06/30/2023,MK,arch,18,npk,QUMI,04,13:45,460,33,3.06,2.92,461,342,
06/30/2023,MK,arch,18,npk,PANO,04,13:47,463,18,0.84,5.33,462,187,ddh measured at 5cm; short stem syndrome
06/30/2023,MK,arch,18,npk,HYED,04,13:09,465,109,10.14,9.82,464,197,
06/30/2023,MK,arch,11,ctl,PANO,04,12:57,466,12,1.51,2.69,467,339,ddh measured at 3cm; short stem syndrome syndrome
06/30/2023,MK,arch,11,ctl,DICHA,04,11:13,468,22,0.48,0.53,469,338,
06/27/2023,MK,arch,08,npk,LYLU,01,mia,mia,mia,mia,mia,mia,mia,"egg. alt. 2 small quantity/health to collect at this plot, no info collected! mk 20230824"
06/27/2023,MK,arch,08,npk,LYLU,02,mia,mia,mia,mia,mia,mia,mia,no info collected! mk 20230824
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
